hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year
2011-01-01T00,42.37,18.03,10.0,0.37,0.28,1014.29,3.27,305.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-01T01,42.66,17.39,10.0,0.36,0.42,1015.16,6.19,307.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-01T02,41.71,21.86,10.0,0.45,0.5,1016.34,10.45,340.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-01T03,39.03,25.26,10.0,0.57,0.82,1017.55,14.83,11.0,,partly-cloudy-night,Mostly Cloudy,2011
2011-01-01T04,37.66,24.55,10.0,0.59,0.75,1018.23,13.3,9.0,,partly-cloudy-night,Mostly Cloudy,2011
2011-01-01T05,35.79,21.98,10.0,0.57,0.81,1019.01,11.47,15.0,,partly-cloudy-night,Mostly Cloudy,2011
2011-01-01T06,33.63,20.74,10.0,0.59,0.35,1019.98,10.19,7.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-01T07,31.78,19.04,10.0,0.59,0.26,1021.49,10.38,6.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-01T08,31.46,19.26,10.0,0.6,0.66,1022.66,11.94,350.0,,partly-cloudy-day,Mostly Cloudy,2011
2011-01-01T09,31.68,15.99,10.0,0.52,0.34,1024.14,13.12,348.0,,partly-cloudy-day,Partly Cloudy,2011
2011-01-01T10,32.97,13.42,10.0,0.44,0.26,1025.26,13.31,350.0,,partly-cloudy-day,Partly Cloudy,2011
2011-01-01T11,35.52,11.28,10.0,0.36,0.22,1025.69,11.09,357.0,,clear-day,Clear,2011
2011-01-01T12,37.52,10.88,10.0,0.33,0.22,1025.49,10.22,341.0,,clear-day,Clear,2011
2011-01-01T13,39.62,10.47,10.0,0.3,0.21,1024.91,7.95,336.0,,clear-day,Clear,2011
2011-01-01T14,41.13,9.72,10.0,0.27,0.21,1024.24,8.71,335.0,,clear-day,Clear,2011
2011-01-01T15,42.64,9.93,10.0,0.26,0.19,1024.01,8.07,3.0,,clear-day,Clear,2011
2011-01-01T16,42.13,9.39,10.0,0.26,0.19,1024.09,7.62,350.0,,clear-day,Clear,2011
2011-01-01T17,40.2,9.29,10.0,0.27,0.21,1024.13,8.13,352.0,,clear-day,Clear,2011
2011-01-01T18,41.31,17.23,10.0,0.37,0.53,1025.23,4.78,133.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-01T19,35.53,12.67,10.0,0.38,0.17,1025.37,5.89,343.0,,clear-night,Clear,2011
2011-01-01T20,33.18,13.37,10.0,0.43,0.0,1025.94,3.25,357.0,,clear-night,Clear,2011
2011-01-01T21,33.11,13.37,10.0,0.44,0.0,1026.11,5.03,357.0,,clear-night,Clear,2011
2011-01-01T22,31.87,14.41,10.0,0.48,0.0,1027.1,4.33,355.0,,clear-night,Clear,2011
2011-01-01T23,29.94,15.97,10.0,0.56,0.17,1027.84,3.3,349.0,,clear-night,Clear,2011
2011-01-02T00,30.08,15.13,10.0,0.53,0.19,1027.94,4.36,3.0,,clear-night,Clear,2011
2011-01-02T01,29.21,15.86,10.0,0.57,0.17,1027.81,4.57,10.0,,clear-night,Clear,2011
2011-01-02T02,28.08,16.32,10.0,0.61,0.0,1027.89,0.72,70.0,,clear-night,Clear,2011
2011-01-02T03,29.62,15.16,9.97,0.54,0.0,1028.29,2.25,355.0,,clear-night,Clear,2011
2011-01-02T04,28.37,16.13,10.0,0.6,0.0,1028.09,3.32,357.0,,clear-night,Clear,2011
2011-01-02T05,26.58,16.92,10.0,0.66,0.0,1028.24,4.38,4.0,,clear-night,Clear,2011
2011-01-02T06,24.47,16.99,10.0,0.73,0.0,1028.5,3.37,53.0,,clear-night,Clear,2011
2011-01-02T07,25.77,16.91,10.0,0.69,0.0,1028.98,2.58,359.0,,clear-night,Clear,2011
2011-01-02T08,25.51,17.05,10.0,0.7,0.2,1029.39,1.0,39.0,,clear-day,Clear,2011
2011-01-02T09,31.5,19.74,10.0,0.61,0.2,1029.99,3.22,99.0,,clear-day,Clear,2011
2011-01-02T10,35.74,18.02,10.0,0.48,0.2,1030.65,3.9,135.0,,clear-day,Clear,2011
2011-01-02T11,40.56,14.15,10.0,0.34,0.48,1030.5,4.32,129.0,,partly-cloudy-day,Partly Cloudy,2011
2011-01-02T12,42.63,11.74,10.0,0.28,0.49,1029.34,6.47,149.0,,partly-cloudy-day,Partly Cloudy,2011
2011-01-02T13,44.71,13.6,10.0,0.28,0.48,1027.82,5.53,163.0,,partly-cloudy-day,Partly Cloudy,2011
2011-01-02T14,46.61,12.86,10.0,0.25,0.46,1026.71,7.24,165.0,,partly-cloudy-day,Partly Cloudy,2011
2011-01-02T15,47.75,14.0,10.0,0.25,0.48,1025.94,6.03,180.0,,partly-cloudy-day,Partly Cloudy,2011
2011-01-02T16,47.62,14.59,10.0,0.26,0.52,1025.56,6.67,175.0,,partly-cloudy-day,Partly Cloudy,2011
2011-01-02T17,46.41,15.62,10.0,0.29,0.54,1025.32,6.71,157.0,,partly-cloudy-day,Partly Cloudy,2011
2011-01-02T18,55.26,30.91,10.0,0.39,0.55,1016.49,12.7,169.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-02T19,40.99,18.99,10.0,0.41,0.49,1025.41,4.96,150.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-02T20,39.01,19.67,10.0,0.45,0.51,1025.65,5.38,147.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-02T21,37.97,19.68,10.0,0.47,0.46,1025.41,5.74,141.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-02T22,38.15,18.62,10.0,0.45,0.43,1025.04,6.25,153.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-02T23,37.13,19.16,10.0,0.48,0.43,1024.74,5.25,157.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-03T00,35.71,19.17,10.0,0.51,0.43,1024.42,5.87,152.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-03T01,35.18,19.82,10.0,0.53,0.19,1023.75,5.14,141.0,,clear-night,Clear,2011
2011-01-03T02,34.53,19.18,10.0,0.53,0.19,1023.4,5.09,139.0,,clear-night,Clear,2011
2011-01-03T03,34.32,19.92,10.0,0.55,0.19,1022.94,6.22,145.0,,clear-night,Clear,2011
2011-01-03T04,33.7,20.01,10.0,0.57,0.17,1022.72,6.23,150.0,,clear-night,Clear,2011
2011-01-03T05,34.64,20.82,10.0,0.57,0.17,1022.37,3.95,150.0,,clear-night,Clear,2011
2011-01-03T06,34.5,20.48,10.0,0.56,0.19,1022.5,3.9,140.0,,clear-night,Clear,2011
2011-01-03T07,32.17,21.23,10.0,0.64,0.22,1022.55,5.86,139.0,,clear-night,Clear,2011
2011-01-03T08,33.47,22.32,10.0,0.63,0.2,1022.66,5.6,144.0,,clear-day,Clear,2011
2011-01-03T09,39.04,25.99,10.0,0.59,0.2,1022.81,6.22,155.0,,clear-day,Clear,2011
2011-01-03T10,47.08,25.9,10.0,0.43,0.24,1022.72,13.61,186.0,,clear-day,Clear,2011
2011-01-03T11,51.53,25.44,10.0,0.36,0.3,1022.49,15.75,185.0,,partly-cloudy-day,Partly Cloudy,2011
2011-01-03T12,53.44,24.85,10.0,0.33,0.67,1021.49,14.62,187.0,,partly-cloudy-day,Mostly Cloudy,2011
2011-01-03T13,55.59,26.09,10.0,0.32,0.88,1020.08,17.24,187.0,,partly-cloudy-day,Mostly Cloudy,2011
2011-01-03T14,57.51,27.04,10.0,0.31,0.73,1018.44,17.15,186.0,,partly-cloudy-day,Mostly Cloudy,2011
2011-01-03T15,57.24,26.52,10.0,0.31,0.72,1017.66,13.9,173.0,,partly-cloudy-day,Mostly Cloudy,2011
2011-01-03T16,57.97,28.31,10.0,0.32,0.6,1017.32,14.32,178.0,,partly-cloudy-day,Mostly Cloudy,2011
2011-01-03T17,56.8,30.65,10.0,0.37,0.56,1017.33,11.81,188.0,,partly-cloudy-day,Partly Cloudy,2011
2011-01-03T18,50.98,41.23,9.87,0.69,0.49,1015.92,4.68,326.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-03T19,53.47,32.33,10.0,0.44,0.53,1017.18,8.04,176.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-03T20,52.07,31.63,10.0,0.45,0.49,1017.36,10.89,171.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-03T21,50.61,32.06,10.0,0.49,0.48,1017.58,7.81,178.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-03T22,49.9,32.78,10.0,0.52,0.22,1017.5,9.84,174.0,,clear-night,Clear,2011
2011-01-03T23,49.05,32.94,10.0,0.54,0.2,1017.41,8.71,180.0,,clear-night,Clear,2011
2011-01-04T00,46.54,33.27,10.0,0.6,0.27,1018.12,7.64,189.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-04T01,45.9,33.86,10.0,0.63,0.34,1018.03,7.88,188.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-04T02,45.21,34.41,10.0,0.66,0.26,1017.71,5.7,183.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-04T03,44.53,34.88,10.0,0.69,0.05,1018.07,6.07,186.0,,clear-night,Clear,2011
2011-01-04T04,43.23,34.53,10.0,0.71,0.03,1017.72,5.66,183.0,,clear-night,Clear,2011
2011-01-04T05,42.19,35.42,10.0,0.77,0.04,1017.7,5.1,171.0,,clear-night,Clear,2011
2011-01-04T06,41.8,35.52,10.0,0.78,0.03,1017.85,6.67,185.0,,clear-night,Clear,2011
2011-01-04T07,41.07,35.7,10.0,0.81,0.02,1017.99,6.87,181.0,,clear-night,Clear,2011
2011-01-04T08,41.75,36.75,9.95,0.82,0.22,1018.26,5.92,191.0,,clear-day,Clear,2011
2011-01-04T09,47.0,40.26,9.85,0.77,0.09,1019.17,4.5,203.0,,clear-day,Clear,2011
2011-01-04T10,51.62,44.3,9.86,0.76,0.66,1020.09,6.72,250.0,,partly-cloudy-day,Mostly Cloudy,2011
2011-01-04T11,50.7,44.82,9.66,0.8,0.9,1020.46,7.19,308.0,,partly-cloudy-day,Mostly Cloudy,2011
2011-01-04T12,52.24,44.68,9.91,0.75,0.68,1019.75,5.86,299.0,,partly-cloudy-day,Mostly Cloudy,2011
2011-01-04T13,53.46,43.25,9.89,0.68,0.53,1018.41,5.96,288.0,,partly-cloudy-day,Partly Cloudy,2011
2011-01-04T14,55.23,42.19,10.0,0.61,0.24,1017.66,6.96,265.0,,clear-day,Clear,2011
2011-01-04T15,55.24,41.32,9.86,0.59,0.23,1017.13,6.53,261.0,,clear-day,Clear,2011
2011-01-04T16,55.77,41.12,9.95,0.58,0.21,1016.52,3.81,287.0,,clear-day,Clear,2011
2011-01-04T17,54.75,40.9,9.91,0.59,0.22,1016.2,5.01,341.0,,clear-day,Clear,2011
2011-01-04T18,52.89,31.65,10.0,0.44,0.22,1015.84,5.2,304.0,,clear-night,Clear,2011
2011-01-04T19,48.97,40.62,10.0,0.73,0.51,1016.38,5.18,308.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-04T20,49.28,39.92,9.97,0.7,0.57,1016.48,4.05,293.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-04T21,47.49,40.45,9.85,0.76,0.68,1015.96,2.25,305.0,,partly-cloudy-night,Mostly Cloudy,2011
2011-01-04T22,46.58,39.61,9.93,0.77,0.6,1015.73,2.53,4.0,,partly-cloudy-night,Mostly Cloudy,2011
2011-01-04T23,45.09,39.73,9.78,0.81,0.56,1015.66,3.13,311.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-05T00,44.4,38.67,9.78,0.8,0.62,1015.36,5.3,318.0,,partly-cloudy-night,Mostly Cloudy,2011
2011-01-05T01,43.89,39.11,9.67,0.83,0.79,1015.01,5.99,328.0,,partly-cloudy-night,Mostly Cloudy,2011
2011-01-05T02,42.84,37.27,9.65,0.8,0.38,1015.0,6.36,325.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-05T03,40.85,37.16,9.48,0.87,0.33,1014.56,3.65,218.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-05T04,40.19,36.66,9.45,0.87,0.19,1013.97,5.19,233.0,,clear-night,Clear,2011
2011-01-05T05,39.17,35.85,9.47,0.88,0.17,1013.65,4.34,247.0,,clear-night,Clear,2011
2011-01-05T06,38.01,34.82,9.59,0.88,0.0,1013.72,3.73,266.0,,clear-night,Clear,2011
2011-01-05T07,36.61,33.87,9.69,0.9,0.21,1014.09,5.26,269.0,,clear-night,Clear,2011
2011-01-05T08,37.08,33.42,9.7,0.86,0.21,1014.87,5.32,276.0,,clear-day,Clear,2011
2011-01-05T09,43.24,34.19,9.93,0.7,0.21,1015.46,6.88,291.0,,clear-day,Clear,2011
2011-01-05T10,46.27,30.85,9.94,0.55,0.19,1016.43,11.73,320.0,,clear-day,Clear,2011
2011-01-05T11,49.46,30.03,10.0,0.47,0.21,1017.02,12.83,304.0,,clear-day,Clear,2011
2011-01-05T12,51.65,29.93,9.95,0.43,0.2,1016.34,9.74,325.0,,clear-day,Clear,2011
2011-01-05T13,54.3,29.94,10.0,0.39,0.19,1015.23,6.48,316.0,,clear-day,Clear,2011
2011-01-05T14,56.93,30.15,10.0,0.36,0.2,1014.8,9.22,320.0,,clear-day,Clear,2011
2011-01-05T15,58.05,30.55,9.98,0.35,0.21,1014.95,11.1,312.0,,clear-day,Clear,2011
2011-01-05T16,58.07,31.06,10.0,0.36,0.21,1015.23,8.71,321.0,,clear-day,Clear,2011
2011-01-05T17,56.44,32.06,10.0,0.39,0.2,1015.25,7.95,317.0,,clear-day,Clear,2011
2011-01-05T18,57.98,25.46,9.98,0.28,0.21,1015.81,7.18,288.0,,clear-night,Clear,2011
2011-01-05T19,50.32,31.79,10.0,0.49,0.2,1016.53,6.55,313.0,,clear-night,Clear,2011
2011-01-05T20,48.07,31.82,10.0,0.53,0.18,1017.13,7.42,316.0,,clear-night,Clear,2011
2011-01-05T21,47.0,31.27,10.0,0.54,0.01,1017.26,6.72,294.0,,clear-night,Clear,2011
2011-01-05T22,45.11,31.21,10.0,0.58,0.0,1018.02,6.29,301.0,,clear-night,Clear,2011
2011-01-05T23,42.16,30.23,10.0,0.62,0.0,1018.02,5.3,312.0,,clear-night,Clear,2011
2011-01-06T00,42.29,30.27,10.0,0.62,0.0,1017.79,7.1,300.0,,clear-night,Clear,2011
2011-01-06T01,41.76,29.54,10.0,0.62,0.0,1017.49,6.88,301.0,,clear-night,Clear,2011
2011-01-06T02,38.94,29.09,10.0,0.67,0.0,1017.6,8.21,325.0,,clear-night,Clear,2011
2011-01-06T03,38.75,29.05,10.0,0.68,0.0,1018.05,7.74,318.0,,clear-night,Clear,2011
2011-01-06T04,38.65,28.97,10.0,0.68,0.02,1018.01,9.9,327.0,,clear-night,Clear,2011
2011-01-06T05,39.06,28.98,10.0,0.67,0.44,1017.91,7.84,327.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-06T06,37.63,28.06,10.0,0.68,0.21,1018.37,8.2,335.0,,clear-night,Clear,2011
2011-01-06T07,36.88,27.94,10.0,0.7,0.21,1019.28,6.21,323.0,,clear-night,Clear,2011
2011-01-06T08,38.97,27.34,9.91,0.63,0.19,1020.09,7.44,307.0,,clear-day,Clear,2011
2011-01-06T09,43.11,27.53,10.0,0.54,0.2,1020.36,8.15,309.0,,clear-day,Clear,2011
2011-01-06T10,47.99,27.52,10.0,0.45,0.19,1020.68,8.35,326.0,,clear-day,Clear,2011
2011-01-06T11,51.73,28.08,10.0,0.4,0.19,1020.2,8.09,326.0,,clear-day,Clear,2011
2011-01-06T12,56.34,27.85,9.9,0.33,0.2,1019.01,6.86,327.0,,clear-day,Clear,2011
2011-01-06T13,59.16,27.5,10.0,0.3,0.19,1018.03,8.39,307.0,,clear-day,Clear,2011
2011-01-06T14,61.75,26.81,10.0,0.26,0.21,1017.11,10.36,301.0,,clear-day,Clear,2011
2011-01-06T15,62.74,26.46,10.0,0.25,0.2,1016.69,11.07,304.0,,clear-day,Clear,2011
2011-01-06T16,62.82,25.01,9.8,0.24,0.22,1016.49,9.68,303.0,,clear-day,Clear,2011
2011-01-06T17,61.61,25.74,10.0,0.25,0.24,1016.43,9.62,288.0,,clear-day,Clear,2011
2011-01-06T18,58.59,33.17,9.98,0.38,0.72,1009.41,7.66,359.0,,partly-cloudy-night,Mostly Cloudy,2011
2011-01-06T19,55.09,26.4,9.98,0.33,0.2,1015.7,7.39,276.0,,clear-night,Clear,2011
2011-01-06T20,53.27,27.02,9.98,0.36,0.21,1015.74,6.87,274.0,,clear-night,Clear,2011
2011-01-06T21,50.08,27.7,9.98,0.42,0.2,1015.27,6.78,260.0,,clear-night,Clear,2011
2011-01-06T22,48.78,27.65,9.98,0.44,0.45,1015.11,6.86,249.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-06T23,45.34,28.34,9.98,0.51,0.45,1014.46,6.56,237.0,,partly-cloudy-night,Partly Cloudy,2011
2011-01-07T00,45.44,28.16,10.0,0.51,0.19,1013.82,6.86,248.0,,clear-night,Clear,2011
2011-01-07T01,44.85,28.6,10.0,0.53,0.2,1012.99,8.28,232.0,,clear-night,Clear,2011
2011-01-07T02,41.94,28.69,10.0,0.59,0.19,1012.68,7.55,225.0,,clear-night,Clear,2011
2011-01-07T03,43.7,28.34,10.0,0.54,0.19,1012.47,6.1,235.0,,clear-night,Clear,2011
2011-01-07T04,41.13,28.39,10.0,0.6,0.22,1012.1,4.94,217.0,,clear-night,Clear,2011
2011-01-07T05,38.83,28.56,10.0,0.66,0.02,1011.26,4.61,212.0,,clear-night,Clear,2011
2011-01-07T06,39.59,28.54,10.0,0.64,0.21,1011.13,5.32,239.0,,clear-night,Clear,2011
2011-01-07T07,39.41,27.88,10.0,0.63,0.24,1011.07,5.35,221.0,,clear-night,Clear,2011
2011-01-07T08,40.72,27.35,9.9,0.59,0.23,1011.11,1.61,32.0,,clear-day,Clear,2011
2011-01-07T09,47.46,28.75,10.0,0.48,0.24,1011.4,3.43,256.0,,clear-day,Clear,2011
2011-01-07T10,52.95,26.87,10.0,0.36,0.24,1011.36,6.8,286.0,,clear-day,Clear,2011
2011-01-07T11,56.78,26.85,10.0,0.31,0.49,1011.41,5.96,287.0,,partly-cloudy-day,Partly Cloudy,2011
2011-01-07T12,60.06,27.26,9.93,0.28,0.54,1010.66,7.57,307.0,,partly-cloudy-day,Partly Cloudy,2011
2011-01-07T13,63.29,27.29,10.0,0.25,0.12,1009.41,5.89,333.0,,clear-day,Clear,2011
2011-01-07T14,64.96,27.35,10.0,0.24,0.58,1008.47,6.9,348.0,,partly-cloudy-day,Partly Cloudy,2011
