hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year
2016-01-01T00,42.81,32.31,10.0,0.66,0.65,1031.45,12.24,10.0,,partly-cloudy-night,Mostly Cloudy,2016
2016-01-01T01,42.47,32.06,10.0,0.66,0.24,1031.81,9.71,13.0,,clear-night,Clear,2016
2016-01-01T02,41.51,32.16,10.0,0.69,0.12,1032.25,10.14,359.0,,clear-night,Clear,2016
2016-01-01T03,41.28,31.57,10.0,0.68,0.79,1032.0,12.73,6.0,,partly-cloudy-night,Mostly Cloudy,2016
2016-01-01T04,40.4,31.29,9.94,0.7,0.31,1032.17,13.92,5.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-01T05,39.46,30.6,10.0,0.7,0.24,1032.22,14.7,5.0,,clear-night,Clear,2016
2016-01-01T06,39.2,30.13,10.0,0.7,0.94,1032.57,14.25,7.0,rain,cloudy,Overcast,2016
2016-01-01T07,38.38,29.42,10.0,0.7,0.11,1032.64,13.73,9.0,rain,clear-night,Clear,2016
2016-01-01T08,38.24,30.01,9.95,0.72,0.0,1033.73,10.06,6.0,,clear-day,Clear,2016
2016-01-01T09,38.43,30.2,9.86,0.72,0.61,1034.32,10.72,2.0,,partly-cloudy-day,Mostly Cloudy,2016
2016-01-01T10,39.81,30.09,10.0,0.68,0.16,1035.35,9.45,8.0,,clear-day,Clear,2016
2016-01-01T11,43.23,28.67,10.0,0.56,0.27,1035.02,8.59,13.0,,partly-cloudy-day,Partly Cloudy,2016
2016-01-01T12,44.52,27.87,10.0,0.52,0.57,1034.08,11.45,9.0,,partly-cloudy-day,Partly Cloudy,2016
2016-01-01T13,45.56,27.5,10.0,0.49,0.02,1032.83,9.91,2.0,,clear-day,Clear,2016
2016-01-01T14,45.69,27.42,10.0,0.49,0.06,1031.73,9.85,7.0,,clear-day,Clear,2016
2016-01-01T15,47.1,26.53,10.0,0.44,0.49,1031.34,10.51,358.0,,partly-cloudy-day,Partly Cloudy,2016
2016-01-01T16,47.29,25.59,10.0,0.42,0.05,1031.64,8.33,349.0,,clear-day,Clear,2016
2016-01-01T17,47.04,26.54,10.0,0.45,0.04,1031.44,8.37,350.0,,clear-day,Clear,2016
2016-01-01T18,44.46,26.3,10.0,0.49,0.51,1031.99,6.67,333.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-01T19,43.23,27.23,10.0,0.53,0.1,1032.35,5.1,341.0,,clear-night,Clear,2016
2016-01-01T20,42.88,27.55,10.0,0.54,0.04,1032.71,5.82,324.0,,clear-night,Clear,2016
2016-01-01T21,42.76,28.61,10.0,0.57,0.46,1032.76,5.92,302.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-01T22,41.36,27.94,10.0,0.59,0.0,1032.91,7.19,306.0,,clear-night,Clear,2016
2016-01-01T23,40.31,27.76,10.0,0.61,0.04,1033.06,7.28,309.0,,clear-night,Clear,2016
2016-01-02T00,40.22,27.71,10.0,0.61,0.46,1032.67,7.9,318.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-02T01,38.31,28.16,10.0,0.67,0.06,1031.85,6.95,341.0,,clear-night,Clear,2016
