hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year
2016-01-02T02,40.78,27.88,10.0,0.6,0.22,1031.72,6.68,326.0,,clear-night,Clear,2016
2016-01-02T03,40.37,25.99,10.0,0.56,0.98,1031.49,5.27,335.0,,cloudy,Overcast,2016
2016-01-02T04,40.5,27.18,10.0,0.59,0.31,1031.26,5.75,346.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-02T05,40.45,26.81,10.0,0.58,0.31,1030.39,5.62,355.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-02T06,39.73,26.82,10.0,0.6,0.93,1030.12,6.05,344.0,,partly-cloudy-night,Mostly Cloudy,2016
2016-01-02T07,39.73,26.94,10.0,0.6,0.0,1030.69,4.82,338.0,,clear-night,Clear,2016
2016-01-02T08,40.93,27.6,10.0,0.59,0.09,1030.95,5.09,318.0,,clear-day,Clear,2016
2016-01-02T09,41.72,28.15,10.0,0.58,0.93,1031.8,4.9,310.0,,partly-cloudy-day,Mostly Cloudy,2016
2016-01-02T10,43.94,27.45,10.0,0.52,0.0,1031.69,5.35,342.0,,clear-day,Clear,2016
2016-01-02T11,45.51,26.29,10.0,0.47,0.0,1031.16,4.56,318.0,,clear-day,Clear,2016
2016-01-02T12,47.27,24.76,10.0,0.41,0.93,1029.79,5.86,344.0,,partly-cloudy-day,Mostly Cloudy,2016
2016-01-02T13,48.22,21.7,10.0,0.35,0.0,1028.36,4.83,317.0,,clear-day,Clear,2016
2016-01-02T14,49.72,21.85,10.0,0.33,0.0,1026.92,3.21,273.0,,clear-day,Clear,2016
2016-01-02T15,49.35,22.42,10.0,0.34,0.93,1026.87,3.49,248.0,,partly-cloudy-day,Mostly Cloudy,2016
2016-01-02T16,49.96,23.59,10.0,0.35,0.0,1026.47,4.47,254.0,,clear-day,Clear,2016
2016-01-02T17,49.4,23.45,10.0,0.36,0.0,1026.36,4.77,220.0,,clear-day,Clear,2016
2016-01-02T18,48.54,24.31,10.0,0.38,1.0,1026.36,5.44,230.0,,cloudy,Overcast,2016
2016-01-02T19,48.06,26.21,10.0,0.42,0.31,1026.17,3.34,204.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-02T20,46.73,27.82,10.0,0.47,,1026.18,5.3,202.0,,clear-night,Clear,2016
2016-01-02T21,47.82,28.57,10.0,0.47,1.0,1025.99,7.51,218.0,,cloudy,Overcast,2016
2016-01-02T22,47.06,29.65,10.0,0.51,,1025.74,5.58,237.0,,clear-night,Clear,2016
2016-01-02T23,46.81,29.18,10.0,0.5,0.0,1025.6,4.87,247.0,,clear-night,Clear,2016
2016-01-03T00,44.59,28.87,10.0,0.54,0.58,1025.4,4.66,248.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-03T01,42.63,29.43,10.0,0.59,0.24,1024.79,5.83,246.0,,clear-night,Clear,2016
2016-01-03T02,41.11,29.52,10.0,0.63,0.2,1024.44,7.29,249.0,,clear-night,Clear,2016
2016-01-03T03,40.59,30.19,10.0,0.66,0.19,1024.6,8.95,252.0,,clear-night,Clear,2016
2016-01-03T04,40.56,30.66,10.0,0.67,0.0,1024.46,8.03,278.0,,clear-night,Clear,2016
2016-01-03T05,40.13,31.34,10.0,0.71,0.0,1024.52,10.26,278.0,,clear-night,Clear,2016
2016-01-03T06,38.61,31.06,10.0,0.74,0.0,1024.71,7.8,287.0,,clear-night,Clear,2016
2016-01-03T07,37.03,31.05,10.0,0.79,0.02,1025.03,6.05,291.0,,clear-night,Clear,2016
2016-01-03T08,36.95,31.81,10.0,0.81,0.0,1025.19,7.58,308.0,,clear-day,Clear,2016
2016-01-03T09,40.36,33.42,10.0,0.76,0.0,1025.49,4.62,294.0,,clear-day,Clear,2016
2016-01-03T10,44.69,33.46,10.0,0.64,0.0,1026.08,5.83,321.0,,clear-day,Clear,2016
2016-01-03T11,49.32,31.86,10.0,0.51,0.0,1025.86,6.83,332.0,,clear-day,Clear,2016
2016-01-03T12,53.16,30.69,10.0,0.42,0.02,1025.08,4.68,306.0,,clear-day,Clear,2016
2016-01-03T13,56.19,29.72,10.0,0.36,0.02,1023.96,6.02,317.0,,clear-day,Clear,2016
2016-01-03T14,57.82,29.67,10.0,0.34,0.03,1023.24,9.46,341.0,,clear-day,Clear,2016
2016-01-03T15,58.92,28.86,10.0,0.32,0.03,1023.06,9.35,318.0,,clear-day,Clear,2016
2016-01-03T16,58.52,29.1,10.0,0.32,0.01,1023.3,9.86,324.0,,clear-day,Clear,2016
2016-01-03T17,55.95,27.36,10.0,0.33,0.0,1023.6,10.85,344.0,,clear-day,Clear,2016
2016-01-03T18,50.18,27.1,10.0,0.4,0.0,1023.9,8.47,340.0,,clear-night,Clear,2016
2016-01-03T19,49.64,29.64,10.0,0.46,0.0,1024.64,8.01,332.0,,clear-night,Clear,2016
2016-01-03T20,46.15,30.48,10.0,0.54,0.0,1025.14,7.52,330.0,,clear-night,Clear,2016
2016-01-03T21,43.95,28.79,10.0,0.55,0.0,1025.63,7.72,339.0,,clear-night,Clear,2016
2016-01-03T22,41.7,28.69,10.0,0.6,0.0,1025.79,7.51,344.0,,clear-night,Clear,2016
2016-01-03T23,40.22,28.66,10.0,0.63,0.0,1025.88,6.84,354.0,,clear-night,Clear,2016
2016-01-04T00,39.17,29.0,10.0,0.67,0.0,1026.04,6.11,347.0,,clear-night,Clear,2016
2016-01-04T01,38.23,28.35,10.0,0.67,0.0,1026.03,6.24,340.0,,clear-night,Clear,2016
2016-01-04T02,37.43,28.44,10.0,0.7,0.0,1026.1,5.99,344.0,,clear-night,Clear,2016
2016-01-04T03,35.57,27.53,10.0,0.72,0.0,1026.39,7.02,335.0,,clear-night,Clear,2016
2016-01-04T04,34.07,28.13,10.0,0.79,0.0,1026.33,7.84,346.0,,clear-night,Clear,2016
2016-01-04T05,33.33,27.57,10.0,0.79,0.0,1026.03,7.64,348.0,,clear-night,Clear,2016
2016-01-04T06,32.95,27.16,10.0,0.79,0.0,1026.79,6.73,331.0,,clear-night,Clear,2016
2016-01-04T07,32.5,26.98,10.0,0.8,0.0,1027.61,5.65,327.0,,clear-night,Clear,2016
2016-01-04T08,33.27,27.8,10.0,0.8,0.02,1028.62,6.51,326.0,,clear-day,Clear,2016
2016-01-04T09,37.83,30.36,10.0,0.74,0.01,1029.35,7.3,356.0,,clear-day,Clear,2016
2016-01-04T10,40.47,31.3,10.0,0.7,0.01,1029.68,7.4,10.0,,clear-day,Clear,2016
2016-01-04T11,45.28,31.08,10.0,0.57,0.2,1029.78,5.72,23.0,,clear-day,Clear,2016
2016-01-04T12,46.97,29.97,10.0,0.51,0.2,1028.88,4.82,66.0,,clear-day,Clear,2016
2016-01-04T13,49.5,30.12,10.0,0.47,0.2,1027.76,5.12,25.0,,clear-day,Clear,2016
2016-01-04T14,51.53,29.53,10.0,0.43,0.2,1026.76,4.86,32.0,,clear-day,Clear,2016
2016-01-04T15,52.44,28.92,10.0,0.4,0.22,1026.24,4.38,47.0,,clear-day,Clear,2016
2016-01-04T16,53.19,29.33,10.0,0.4,0.2,1026.05,4.1,44.0,,clear-day,Clear,2016
2016-01-04T17,50.96,29.28,10.0,0.43,0.2,1025.87,6.97,53.0,,clear-day,Clear,2016
2016-01-04T18,47.68,29.11,10.0,0.48,0.22,1025.99,4.48,80.0,,clear-night,Clear,2016
2016-01-04T19,44.72,29.73,10.0,0.55,0.04,1026.61,2.36,51.0,,clear-night,Clear,2016
2016-01-04T20,43.35,30.09,10.0,0.59,0.01,1026.92,3.95,46.0,,clear-night,Clear,2016
2016-01-04T21,41.94,29.86,10.0,0.62,0.01,1027.06,4.77,59.0,,clear-night,Clear,2016
2016-01-04T22,40.79,30.11,10.0,0.65,0.18,1027.1,3.74,70.0,,clear-night,Clear,2016
2016-01-04T23,39.76,29.83,10.0,0.67,0.2,1026.99,4.1,77.0,,clear-night,Clear,2016
2016-01-05T00,38.76,27.92,10.0,0.65,0.2,1027.0,5.51,86.0,,clear-night,Clear,2016
2016-01-05T01,38.17,28.73,10.0,0.68,0.2,1026.87,8.86,99.0,,clear-night,Clear,2016
2016-01-05T02,37.89,29.16,10.0,0.7,0.03,1026.6,6.61,98.0,,clear-night,Clear,2016
2016-01-05T03,36.74,29.22,10.0,0.74,0.19,1027.04,8.46,98.0,,clear-night,Clear,2016
2016-01-05T04,35.3,28.44,10.0,0.76,0.03,1027.57,7.67,102.0,,clear-night,Clear,2016
2016-01-05T05,33.69,28.25,10.0,0.8,0.04,1027.86,7.59,100.0,,clear-night,Clear,2016
2016-01-05T06,33.34,27.39,10.0,0.79,0.47,1028.25,8.05,101.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-05T07,32.36,27.19,10.0,0.81,0.05,1028.7,9.34,105.0,,clear-night,Clear,2016
2016-01-05T08,32.09,27.27,10.0,0.82,0.21,1029.11,11.06,107.0,,clear-day,Clear,2016
2016-01-05T09,33.69,27.85,10.0,0.79,0.65,1029.25,9.45,119.0,,partly-cloudy-day,Mostly Cloudy,2016
2016-01-05T10,34.38,27.54,10.0,0.76,0.24,1029.59,9.8,112.0,,clear-day,Clear,2016
2016-01-05T11,36.53,28.41,10.0,0.72,0.17,1029.18,9.15,132.0,,clear-day,Clear,2016
2016-01-05T12,38.28,29.22,10.0,0.7,0.55,1028.02,6.87,125.0,,partly-cloudy-day,Partly Cloudy,2016
2016-01-05T13,41.84,30.08,10.0,0.63,0.03,1026.39,6.72,141.0,,clear-day,Clear,2016
2016-01-05T14,43.36,30.16,10.0,0.59,0.0,1025.18,5.7,122.0,,clear-day,Clear,2016
2016-01-05T15,44.9,30.25,10.0,0.56,0.2,1024.56,5.67,143.0,,clear-day,Clear,2016
2016-01-05T16,45.13,30.22,10.0,0.56,0.22,1024.28,5.68,123.0,,clear-day,Clear,2016
2016-01-05T17,43.53,30.37,9.82,0.59,0.04,1024.03,5.78,117.0,,clear-day,Clear,2016
2016-01-05T18,43.18,30.5,10.0,0.61,0.7,1023.98,6.71,122.0,,partly-cloudy-night,Mostly Cloudy,2016
2016-01-05T19,42.24,30.62,10.0,0.63,0.07,1024.24,6.35,118.0,,clear-night,Clear,2016
2016-01-05T20,42.65,30.47,9.93,0.62,0.15,1024.2,6.65,110.0,,clear-night,Clear,2016
2016-01-05T21,41.87,30.97,10.0,0.65,0.71,1024.19,7.09,123.0,,partly-cloudy-night,Mostly Cloudy,2016
2016-01-05T22,42.29,29.77,9.93,0.61,0.14,1024.3,8.96,129.0,,clear-night,Clear,2016
2016-01-05T23,42.57,29.7,10.0,0.6,0.17,1023.98,8.74,129.0,,clear-night,Clear,2016
2016-01-06T00,42.51,29.73,10.0,0.6,0.7,1023.5,10.13,137.0,,partly-cloudy-night,Mostly Cloudy,2016
2016-01-06T01,42.53,30.46,10.0,0.62,,1022.96,9.03,139.0,,clear-night,Clear,2016
2016-01-06T02,42.44,31.21,10.0,0.64,,1022.59,7.29,148.0,,clear-night,Clear,2016
2016-01-06T03,42.43,31.27,10.0,0.64,1.0,1022.42,7.29,141.0,,cloudy,Overcast,2016
2016-01-06T04,41.88,32.56,10.0,0.69,,1021.95,6.27,131.0,,clear-night,Clear,2016
2016-01-06T05,42.43,31.51,10.0,0.65,,1021.6,6.65,125.0,,clear-night,Clear,2016
2016-01-06T06,42.44,32.48,10.0,0.68,1.0,1021.17,7.97,136.0,,cloudy,Overcast,2016
2016-01-06T07,41.77,33.36,9.92,0.72,,1021.5,8.5,146.0,,clear-night,Clear,2016
2016-01-06T08,41.92,34.09,8.68,0.74,,1021.65,6.67,149.0,,clear-day,Clear,2016
2016-01-06T09,42.72,34.05,9.9,0.71,1.0,1021.89,7.09,142.0,,cloudy,Overcast,2016
2016-01-06T10,43.82,34.38,10.0,0.69,,1022.06,8.33,137.0,,clear-day,Clear,2016
2016-01-06T11,44.76,35.05,10.0,0.69,,1021.69,8.37,136.0,,clear-day,Clear,2016
2016-01-06T12,46.42,35.63,9.94,0.66,1.0,1020.42,9.14,129.0,,cloudy,Overcast,2016
2016-01-06T13,46.34,37.89,7.21,0.72,,1018.92,9.3,131.0,,clear-day,Clear,2016
2016-01-06T14,46.93,39.46,7.37,0.75,,1017.73,6.78,132.0,,clear-day,Clear,2016
2016-01-06T15,47.7,40.09,9.58,0.75,1.0,1016.77,5.86,126.0,,cloudy,Overcast,2016
2016-01-06T16,48.71,40.18,9.77,0.72,,1016.23,7.56,115.0,,clear-day,Clear,2016
2016-01-06T17,48.59,40.66,9.94,0.74,,1016.09,7.84,116.0,rain,clear-day,Clear,2016
2016-01-06T18,47.73,42.27,7.83,0.81,1.0,1015.73,6.98,112.0,rain,cloudy,Overcast,2016
2016-01-06T19,47.5,43.07,9.23,0.85,,1015.12,6.2,99.0,rain,clear-night,Clear,2016
2016-01-06T20,46.71,44.09,2.79,0.91,,1015.06,1.31,328.0,rain,rain,Rain,2016
2016-01-06T21,46.68,45.11,3.31,0.94,1.0,1015.71,9.76,93.0,rain,rain,Rain,2016
2016-01-06T22,47.33,45.16,8.59,0.92,,1014.56,6.21,121.0,rain,clear-night,Clear,2016
2016-01-06T23,47.45,45.22,8.37,0.92,,1014.32,1.5,111.0,rain,clear-night,Clear,2016
2016-01-07T00,47.52,46.06,5.25,0.95,1.0,1013.97,1.13,120.0,rain,cloudy,Overcast,2016
2016-01-07T01,47.65,45.66,2.67,0.93,,1013.21,3.02,156.0,rain,clear-night,Clear,2016
2016-01-07T02,47.67,46.29,3.37,0.95,,1012.24,5.02,106.0,rain,clear-night,Clear,2016
2016-01-07T03,47.91,46.53,3.57,0.95,1.0,1011.73,5.12,139.0,rain,cloudy,Overcast,2016
2016-01-07T04,48.55,47.3,3.12,0.95,,1011.56,0.84,151.0,rain,clear-night,Clear,2016
2016-01-07T05,48.78,47.49,0.69,0.95,,1011.08,3.02,154.0,rain,fog,Foggy,2016
2016-01-07T06,49.51,48.06,0.36,0.95,,1010.97,4.97,184.0,,fog,Foggy,2016
2016-01-07T07,49.67,48.09,0.49,0.94,,1011.06,4.42,180.0,,fog,Foggy,2016
2016-01-07T08,50.21,48.73,0.47,0.95,,1011.17,9.1,195.0,rain,fog,Foggy,2016
2016-01-07T09,49.92,48.41,1.59,0.95,1.0,1011.29,12.26,212.0,,fog,Foggy,2016
2016-01-07T10,50.5,48.96,3.89,0.94,,1011.77,11.99,208.0,,clear-day,Clear,2016
2016-01-07T11,51.88,49.31,7.55,0.91,0.31,1011.42,9.41,197.0,,partly-cloudy-day,Partly Cloudy,2016
2016-01-07T12,55.26,49.42,9.82,0.81,0.31,1010.0,8.67,196.0,,partly-cloudy-day,Partly Cloudy,2016
2016-01-07T13,58.28,49.64,9.94,0.73,0.25,1008.67,10.07,193.0,,partly-cloudy-day,Partly Cloudy,2016
2016-01-07T14,61.21,48.97,10.0,0.64,0.24,1007.27,10.44,198.0,,clear-day,Clear,2016
2016-01-07T15,62.92,49.63,10.0,0.62,0.26,1006.18,9.76,176.0,,partly-cloudy-day,Partly Cloudy,2016
2016-01-07T16,63.77,49.11,10.0,0.59,0.2,1005.98,14.06,175.0,,clear-day,Clear,2016
2016-01-07T17,62.93,49.29,10.0,0.61,0.18,1006.18,12.4,173.0,,clear-day,Clear,2016
2016-01-07T18,58.15,49.71,10.0,0.73,0.21,1006.62,9.03,159.0,,clear-night,Clear,2016
2016-01-07T19,55.81,48.9,10.0,0.78,0.17,1007.23,8.34,176.0,,clear-night,Clear,2016
2016-01-07T20,55.2,48.39,9.93,0.78,0.02,1007.55,9.13,178.0,,clear-night,Clear,2016
2016-01-07T21,54.27,49.57,9.88,0.84,0.19,1008.1,9.26,187.0,,clear-night,Clear,2016
2016-01-07T22,52.84,48.88,9.73,0.86,0.18,1008.13,7.71,187.0,,clear-night,Clear,2016
2016-01-07T23,52.44,48.68,9.54,0.87,0.18,1008.04,8.61,181.0,,clear-night,Clear,2016
2016-01-08T00,50.87,47.66,7.61,0.89,0.18,1007.74,7.44,190.0,,clear-night,Clear,2016
2016-01-08T01,49.55,47.03,7.78,0.91,0.0,1007.49,7.53,205.0,,clear-night,Clear,2016
2016-01-08T02,49.08,45.99,7.65,0.89,0.0,1007.15,8.01,206.0,,clear-night,Clear,2016
2016-01-08T03,48.35,45.07,8.15,0.88,0.01,1007.39,7.31,228.0,,clear-night,Clear,2016
2016-01-08T04,46.73,43.01,8.08,0.87,0.21,1007.4,1.32,200.0,,clear-night,Clear,2016
2016-01-08T05,45.03,42.56,7.12,0.91,0.21,1007.58,2.69,225.0,rain,clear-night,Clear,2016
2016-01-08T06,44.18,41.04,7.85,0.89,0.57,1007.76,2.39,311.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-08T07,44.0,41.42,6.03,0.91,0.26,1008.06,1.09,308.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-08T08,43.61,41.05,7.93,0.91,0.0,1008.31,3.89,14.0,,clear-day,Clear,2016
2016-01-08T09,47.72,44.19,8.64,0.87,0.52,1009.12,1.14,137.0,,partly-cloudy-day,Partly Cloudy,2016
2016-01-08T10,51.06,44.14,9.08,0.77,0.0,1009.59,2.66,88.0,,clear-day,Clear,2016
2016-01-08T11,54.41,45.35,9.6,0.71,0.07,1009.32,5.6,88.0,,clear-day,Clear,2016
2016-01-08T12,55.48,45.77,9.53,0.7,0.54,1008.48,3.61,87.0,,partly-cloudy-day,Partly Cloudy,2016
2016-01-08T13,56.33,46.77,9.53,0.7,0.12,1006.76,5.01,73.0,,clear-day,Clear,2016
2016-01-08T14,56.78,49.43,9.09,0.76,0.1,1005.95,6.86,119.0,,clear-day,Clear,2016
2016-01-08T15,57.02,50.03,9.02,0.77,0.59,1005.95,2.94,117.0,,partly-cloudy-day,Partly Cloudy,2016
2016-01-08T16,58.46,50.29,9.43,0.74,0.16,1005.9,3.86,45.0,,clear-day,Clear,2016
2016-01-08T17,57.3,49.98,9.83,0.77,0.09,1006.68,2.38,13.0,,clear-day,Clear,2016
2016-01-08T18,55.17,49.1,9.63,0.8,0.61,1006.9,5.44,4.0,,partly-cloudy-night,Mostly Cloudy,2016
2016-01-08T19,53.27,48.39,8.87,0.83,0.04,1007.3,6.03,0.0,,clear-night,Clear,2016
2016-01-08T20,50.45,46.04,9.44,0.85,0.07,1007.99,10.65,348.0,,clear-night,Clear,2016
2016-01-08T21,48.35,45.42,8.16,0.9,0.53,1007.97,11.33,355.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-08T22,47.7,44.52,9.08,0.89,0.31,1008.65,13.26,346.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-08T23,47.49,43.68,9.64,0.87,,1008.53,13.77,350.0,,clear-night,Clear,2016
2016-01-09T00,46.68,42.91,8.88,0.87,1.0,1009.25,11.71,7.0,,cloudy,Overcast,2016
2016-01-09T01,45.93,42.7,9.54,0.88,,1009.51,10.87,346.0,,clear-night,Clear,2016
2016-01-09T02,45.68,42.01,9.42,0.87,,1010.13,7.27,343.0,,clear-night,Clear,2016
2016-01-09T03,45.3,41.75,8.53,0.87,1.0,1010.48,9.16,334.0,,cloudy,Overcast,2016
2016-01-09T04,44.56,40.98,9.45,0.87,,1010.53,11.81,320.0,rain,clear-night,Clear,2016
2016-01-09T05,43.73,39.74,9.83,0.86,,1010.88,10.74,317.0,rain,clear-night,Clear,2016
2016-01-09T06,42.82,38.43,9.95,0.84,1.0,1011.42,15.5,318.0,,wind,Breezy and Overcast,2016
2016-01-09T07,42.57,37.45,9.72,0.82,,1012.08,16.41,324.0,,wind,Breezy,2016
2016-01-09T08,41.58,36.23,9.68,0.81,,1013.06,19.75,318.0,rain,wind,Breezy,2016
2016-01-09T09,40.63,35.2,9.7,0.81,1.0,1013.97,17.02,314.0,,wind,Breezy and Overcast,2016
2016-01-09T10,40.51,32.82,9.83,0.74,,1015.06,19.66,320.0,,wind,Breezy,2016
2016-01-09T11,40.36,32.38,9.94,0.73,,1015.84,19.15,326.0,,wind,Breezy,2016
2016-01-09T12,40.51,32.11,10.0,0.72,1.0,1015.95,19.37,320.0,,wind,Breezy and Overcast,2016
2016-01-09T13,40.6,31.27,10.0,0.69,,1015.68,21.09,320.0,,wind,Breezy,2016
2016-01-09T14,39.64,31.06,10.0,0.71,,1015.6,20.49,311.0,,wind,Breezy,2016
2016-01-09T15,39.57,30.14,10.0,0.69,1.0,1016.38,20.37,310.0,,wind,Breezy and Overcast,2016
2016-01-09T16,39.58,29.24,10.0,0.66,,1017.12,22.33,318.0,,wind,Breezy,2016
2016-01-09T17,39.6,28.48,10.0,0.64,,1018.12,20.0,326.0,,wind,Breezy,2016
2016-01-09T18,38.72,27.66,10.0,0.64,1.0,1019.0,20.22,333.0,,wind,Breezy and Overcast,2016
2016-01-09T19,38.43,27.88,10.0,0.65,,1020.11,18.34,322.0,,wind,Breezy,2016
2016-01-09T20,37.81,26.78,10.0,0.64,,1020.87,19.22,342.0,,wind,Breezy,2016
2016-01-09T21,37.0,25.79,10.0,0.64,1.0,1021.81,19.27,337.0,,wind,Breezy and Overcast,2016
2016-01-09T22,36.73,25.53,10.0,0.64,0.0,1022.3,15.06,339.0,,wind,Breezy,2016
2016-01-09T23,35.9,24.84,10.0,0.64,0.22,1022.87,17.56,338.0,,wind,Breezy,2016
2016-01-10T00,35.47,24.13,10.0,0.63,0.63,1023.26,17.31,338.0,,wind,Breezy and Mostly Cloudy,2016
2016-01-10T01,34.06,23.84,10.0,0.66,0.16,1023.58,14.61,337.0,,clear-night,Clear,2016
2016-01-10T02,33.11,23.6,10.0,0.68,0.28,1023.51,13.57,337.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-10T03,32.62,22.95,10.0,0.67,0.24,1023.69,13.22,332.0,,clear-night,Clear,2016
2016-01-10T04,31.1,22.65,10.0,0.71,0.22,1024.06,13.45,337.0,,clear-night,Clear,2016
2016-01-10T05,29.85,21.64,10.0,0.71,0.03,1024.51,11.22,339.0,,clear-night,Clear,2016
2016-01-10T06,29.48,21.14,10.0,0.71,0.03,1025.17,13.34,339.0,,clear-night,Clear,2016
2016-01-10T07,28.56,20.88,10.0,0.73,0.02,1026.15,10.43,339.0,,clear-night,Clear,2016
2016-01-10T08,27.85,20.35,10.0,0.73,0.2,1026.97,12.72,339.0,,clear-day,Clear,2016
2016-01-10T09,29.51,20.26,10.0,0.68,0.2,1027.65,12.39,343.0,,clear-day,Clear,2016
2016-01-10T10,31.55,20.02,10.0,0.62,0.02,1028.65,10.69,353.0,,clear-day,Clear,2016
2016-01-10T11,34.23,20.09,10.0,0.56,0.19,1028.56,8.45,358.0,,clear-day,Clear,2016
2016-01-10T12,36.47,19.37,10.0,0.49,0.0,1028.32,5.88,9.0,,clear-day,Clear,2016
2016-01-10T13,37.76,18.39,10.0,0.45,0.17,1027.28,6.53,9.0,,clear-day,Clear,2016
2016-01-10T14,40.72,18.73,10.0,0.41,0.2,1026.1,7.32,348.0,,clear-day,Clear,2016
2016-01-10T15,41.12,18.04,10.0,0.39,0.2,1025.6,7.98,340.0,,clear-day,Clear,2016
2016-01-10T16,41.26,17.9,10.0,0.39,0.21,1025.29,7.03,0.0,,clear-day,Clear,2016
2016-01-10T17,39.09,17.11,10.0,0.4,0.21,1024.97,6.62,17.0,,clear-day,Clear,2016
2016-01-10T18,35.85,17.82,10.0,0.47,0.49,1025.17,4.89,33.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-10T19,36.45,19.0,10.0,0.49,0.03,1025.61,4.26,58.0,,clear-night,Clear,2016
2016-01-10T20,34.26,19.84,10.0,0.55,0.0,1025.67,4.99,50.0,,clear-night,Clear,2016
2016-01-10T21,34.29,18.55,10.0,0.52,0.59,1025.91,2.68,63.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-10T22,34.43,19.08,10.0,0.53,0.07,1025.81,3.16,94.0,,clear-night,Clear,2016
2016-01-10T23,32.85,19.47,10.0,0.57,0.03,1025.99,3.2,120.0,,clear-night,Clear,2016
2016-01-11T00,32.94,19.44,10.0,0.57,0.48,1025.65,3.1,108.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-11T01,32.58,20.37,10.0,0.6,0.0,1025.36,1.78,116.0,,clear-night,Clear,2016
2016-01-11T02,31.62,20.82,10.0,0.64,0.0,1024.93,3.99,99.0,,clear-night,Clear,2016
2016-01-11T03,31.44,20.3,10.0,0.63,0.49,1024.69,2.31,97.0,,partly-cloudy-night,Partly Cloudy,2016
2016-01-11T04,31.39,20.52,10.0,0.64,0.06,1024.44,2.12,30.0,,clear-night,Clear,2016
