hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year
2012-01-01T00,46.64,32.56,9.91,0.58,0.0,1021.01,1.95,251.0,,clear-night,Clear,2012
2012-01-01T01,44.42,32.78,9.54,0.63,0.0,1020.69,0.85,280.0,,clear-night,Clear,2012
2012-01-01T02,43.68,34.45,9.63,0.7,0.0,1020.59,2.9,214.0,,clear-night,Clear,2012
2012-01-01T03,42.84,34.34,9.29,0.72,0.01,1020.66,0.47,297.0,,clear-night,Clear,2012
2012-01-01T04,43.8,34.15,9.62,0.69,0.07,1020.83,3.02,234.0,,clear-night,Clear,2012
2012-01-01T05,44.78,37.04,9.49,0.74,0.41,1019.97,6.66,228.0,,partly-cloudy-night,Partly Cloudy,2012
2012-01-01T06,46.15,39.71,9.87,0.78,0.71,1019.96,7.57,219.0,,partly-cloudy-night,Mostly Cloudy,2012
2012-01-01T07,45.87,41.47,9.73,0.84,0.37,1020.34,6.24,226.0,,partly-cloudy-night,Partly Cloudy,2012
2012-01-01T08,49.07,45.92,9.62,0.89,0.37,1020.25,7.93,238.0,,partly-cloudy-day,Partly Cloudy,2012
2012-01-01T09,55.94,51.31,9.86,0.84,0.67,1020.13,11.41,237.0,,partly-cloudy-day,Mostly Cloudy,2012
2012-01-01T10,58.65,52.21,9.96,0.79,0.85,1020.34,14.52,230.0,,partly-cloudy-day,Mostly Cloudy,2012
2012-01-01T11,59.41,53.62,9.96,0.81,0.94,1020.12,10.29,231.0,,cloudy,Overcast,2012
2012-01-01T12,59.92,54.08,9.83,0.81,0.97,1019.09,13.37,238.0,,cloudy,Overcast,2012
2012-01-01T13,59.74,55.2,7.28,0.85,0.99,1018.74,10.4,238.0,,cloudy,Overcast,2012
2012-01-01T14,62.55,55.27,9.65,0.77,0.81,1017.88,10.34,241.0,,partly-cloudy-day,Mostly Cloudy,2012
2012-01-01T15,63.76,54.93,9.92,0.73,0.7,1017.39,10.53,252.0,,partly-cloudy-day,Mostly Cloudy,2012
2012-01-01T16,63.67,52.43,10.0,0.67,0.29,1017.25,9.22,262.0,,partly-cloudy-day,Partly Cloudy,2012
2012-01-01T17,64.24,39.32,10.0,0.4,0.22,1017.87,12.32,291.0,,clear-day,Clear,2012
2012-01-01T18,59.69,39.67,10.0,0.47,0.2,1019.1,13.06,297.0,,clear-night,Clear,2012
2012-01-01T19,56.9,35.9,10.0,0.45,0.0,1020.41,14.74,307.0,,clear-night,Clear,2012
2012-01-01T20,54.09,33.38,10.0,0.45,0.0,1021.37,15.03,302.0,,clear-night,Clear,2012
2012-01-01T21,52.19,31.06,10.0,0.44,0.0,1022.03,14.95,310.0,,clear-night,Clear,2012
2012-01-01T22,50.63,30.18,10.0,0.45,0.0,1022.15,12.67,318.0,,clear-night,Clear,2012
2012-01-01T23,48.74,29.89,10.0,0.48,0.0,1022.22,12.28,318.0,,clear-night,Clear,2012
2012-01-02T00,46.87,28.72,10.0,0.49,0.0,1022.29,13.17,318.0,,clear-night,Clear,2012
2012-01-02T01,45.73,27.84,10.0,0.49,0.0,1021.82,13.51,319.0,,clear-night,Clear,2012
2012-01-02T02,43.91,25.31,10.0,0.48,0.0,1021.78,12.04,318.0,,clear-night,Clear,2012
2012-01-02T03,42.84,23.4,10.0,0.46,0.0,1021.53,13.9,312.0,,clear-night,Clear,2012
