hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year
2011-01-01T00,56.76,48.63,9.96,0.74,1.0,1019.8,8.63,108.0,,cloudy,Overcast,2011
2011-01-01T01,56.95,49.58,9.96,0.76,1.0,1018.58,8.1,127.0,,cloudy,Overcast,2011
2011-01-01T02,56.88,50.62,10.0,0.8,1.0,1018.16,7.86,127.0,rain,cloudy,Overcast,2011
2011-01-01T03,56.85,51.52,10.0,0.82,0.97,1017.33,8.05,137.0,,cloudy,Overcast,2011
2011-01-01T04,56.73,53.32,10.0,0.88,0.99,1018.34,7.84,138.0,,cloudy,Overcast,2011
2011-01-01T05,56.2,52.83,9.93,0.88,0.96,1017.06,9.71,148.0,,cloudy,Overcast,2011
2011-01-01T06,56.84,52.73,9.85,0.86,1.0,1017.91,8.83,156.0,,cloudy,Overcast,2011
2011-01-01T07,56.89,52.87,9.8,0.86,0.89,1016.46,12.58,150.0,,partly-cloudy-night,Mostly Cloudy,2011
2011-01-01T08,57.15,53.88,9.48,0.89,0.96,1017.05,11.96,177.0,,cloudy,Overcast,2011
2011-01-01T09,58.72,54.1,9.43,0.85,1.0,1017.07,13.22,169.0,,cloudy,Overcast,2011
2011-01-01T10,58.88,55.24,3.46,0.88,1.0,1017.96,6.32,224.0,rain,rain,Rain,2011
2011-01-01T11,59.77,56.81,7.1,0.9,0.98,1017.27,8.4,179.0,rain,rain,Rain,2011
2011-01-01T12,59.01,56.72,2.27,0.92,0.98,1016.3,5.43,300.0,rain,rain,Rain,2011
2011-01-01T13,58.58,56.86,1.48,0.94,1.0,1016.6,4.16,357.0,rain,rain,Rain,2011
2011-01-01T14,58.75,56.98,2.09,0.94,0.99,1016.52,4.98,139.0,rain,rain,Rain,2011
2011-01-01T15,58.07,56.79,3.92,0.95,1.0,1016.16,5.68,129.0,rain,rain,Rain,2011
2011-01-01T16,58.74,57.07,2.51,0.94,1.0,1015.74,6.37,128.0,rain,rain,Light Rain,2011
2011-01-01T17,58.97,56.98,6.27,0.93,0.99,1015.79,6.68,123.0,rain,cloudy,Overcast,2011
2011-01-01T18,58.78,56.93,7.08,0.94,1.0,1016.12,4.94,149.0,rain,cloudy,Overcast,2011
2011-01-01T19,40.99,18.24,9.91,0.39,0.04,1023.5,10.91,326.0,,clear-night,Clear,2011
2011-01-01T20,58.69,56.93,6.68,0.94,1.0,1017.08,5.47,171.0,rain,cloudy,Overcast,2011
2011-01-01T21,58.71,56.93,2.45,0.94,1.0,1017.02,6.04,191.0,,cloudy,Overcast,2011
2011-01-01T22,58.52,56.57,1.52,0.93,1.0,1017.14,3.91,223.0,rain,fog,Foggy,2011
2011-01-01T23,57.72,56.59,1.3,0.96,1.0,1017.35,5.22,224.0,rain,fog,Foggy,2011
2011-01-02T00,54.66,53.45,2.4,0.96,1.0,1017.27,8.36,309.0,rain,rain,Drizzle,2011
2011-01-02T01,52.32,51.72,8.33,0.98,1.0,1017.07,5.67,307.0,rain,cloudy,Overcast,2011
2011-01-02T02,51.23,49.04,9.04,0.92,1.0,1017.24,9.63,311.0,rain,cloudy,Overcast,2011
2011-01-02T03,49.3,44.89,9.65,0.85,1.0,1017.41,8.02,335.0,,cloudy,Overcast,2011
2011-01-02T04,48.29,44.47,9.78,0.87,1.0,1017.1,5.95,314.0,rain,cloudy,Overcast,2011
2011-01-02T05,47.2,42.51,9.87,0.84,1.0,1017.2,10.75,325.0,rain,cloudy,Overcast,2011
2011-01-02T06,45.14,41.67,9.99,0.88,0.99,1017.49,8.54,316.0,rain,cloudy,Overcast,2011
2011-01-02T07,44.11,39.09,9.79,0.82,0.95,1018.22,12.55,325.0,,cloudy,Overcast,2011
2011-01-02T08,41.97,37.06,9.81,0.83,0.44,1019.08,9.15,302.0,,partly-cloudy-day,Partly Cloudy,2011
2011-01-02T09,42.15,36.89,9.97,0.81,0.69,1019.47,8.39,307.0,,partly-cloudy-day,Mostly Cloudy,2011
2011-01-02T10,43.98,36.58,10.0,0.75,0.77,1020.42,10.08,301.0,,partly-cloudy-day,Mostly Cloudy,2011
2011-01-02T11,46.0,36.43,10.0,0.69,0.64,1021.37,11.61,299.0,,partly-cloudy-day,Mostly Cloudy,2011
2011-01-02T12,49.05,31.05,10.0,0.5,0.23,1021.17,17.86,309.0,,clear-day,Clear,2011
2011-01-02T13,50.94,28.42,10.0,0.42,0.22,1020.46,15.83,315.0,,clear-day,Clear,2011
2011-01-02T14,50.98,24.25,10.0,0.35,0.22,1020.66,19.07,310.0,,clear-day,Clear,2011
2011-01-02T15,49.78,24.25,10.0,0.37,0.22,1021.08,15.84,312.0,,clear-day,Clear,2011
2011-01-02T16,48.76,17.06,10.0,0.28,0.22,1021.58,15.65,305.0,,clear-day,Clear,2011
2011-01-02T17,46.55,15.52,10.0,0.28,0.22,1022.26,13.7,327.0,,clear-day,Clear,2011
2011-01-02T18,42.63,17.18,10.0,0.35,0.22,1022.77,11.42,318.0,,clear-night,Clear,2011
2011-01-02T19,42.24,20.93,9.96,0.42,0.22,1023.69,,,,clear-night,Clear,2011
2011-01-02T20,38.43,17.4,10.0,0.42,0.0,1023.87,11.32,326.0,,clear-night,Clear,2011
2011-01-02T21,36.55,15.9,10.0,0.42,0.0,1024.25,9.72,327.0,,clear-night,Clear,2011
2011-01-02T22,34.72,14.61,9.98,0.43,0.0,1024.61,10.3,329.0,,clear-night,Clear,2011
2011-01-02T23,33.6,14.42,10.0,0.45,0.0,1024.47,10.94,328.0,,clear-night,Clear,2011
2011-01-03T00,31.78,15.35,10.0,0.5,0.0,1024.54,9.26,328.0,,clear-night,Clear,2011
2011-01-03T01,30.58,15.48,10.0,0.53,0.0,1024.42,11.15,328.0,,clear-night,Clear,2011
2011-01-03T02,29.68,15.45,10.0,0.55,0.0,1024.37,10.71,328.0,,clear-night,Clear,2011
