hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year
2017-01-01T00,45.65,45.13,1.65,0.98,,1018.72,7.01,73.0,,fog,Foggy,2017
2017-01-01T01,46.28,45.83,1.32,0.98,,1018.94,7.01,89.0,rain,rain,Light Rain,2017
2017-01-01T02,47.0,46.59,1.15,0.98,,1019.57,8.0,86.0,rain,rain,Light Rain,2017
2017-01-01T03,46.55,46.01,1.39,0.98,,1020.18,8.97,80.0,rain,rain,Light Rain,2017
2017-01-01T04,46.78,46.28,1.18,0.98,,1020.57,6.92,89.0,rain,fog,Foggy,2017
2017-01-01T05,48.37,48.02,0.42,0.99,,1019.96,6.41,95.0,rain,fog,Foggy,2017
2017-01-01T06,49.45,48.95,0.35,0.98,,1019.15,6.27,96.0,,fog,Foggy,2017
2017-01-01T07,49.61,49.31,0.52,0.99,,1018.77,6.33,97.0,rain,rain,Drizzle,2017
2017-01-01T08,50.38,49.22,1.18,0.96,,1018.62,6.84,79.0,rain,rain,Light Rain,2017
2017-01-01T09,49.88,49.41,1.28,0.98,,1019.3,6.73,72.0,rain,rain,Light Rain,2017
2017-01-01T10,50.12,49.71,2.13,0.98,,1018.95,7.48,102.0,rain,rain,Rain,2017
2017-01-01T11,50.22,49.84,2.21,0.99,,1019.45,5.68,101.0,rain,rain,Rain,2017
2017-01-01T12,50.22,49.75,2.59,0.98,0.98,1020.09,8.99,90.0,rain,rain,Rain,2017
2017-01-01T13,50.42,49.99,2.85,0.98,,1020.4,7.93,93.0,rain,rain,Rain,2017
2017-01-01T14,49.91,49.38,2.86,0.98,,1020.63,7.78,90.0,rain,rain,Light Rain,2017
2017-01-01T15,50.57,49.41,2.62,0.96,,1020.32,6.91,87.0,rain,rain,Light Rain,2017
2017-01-01T16,50.64,50.11,2.33,0.98,,1021.06,5.5,81.0,rain,rain,Light Rain,2017
2017-01-01T17,50.61,50.19,2.37,0.98,,1020.88,5.27,79.0,rain,rain,Rain,2017
2017-01-01T18,50.58,50.12,2.26,0.98,1.0,1020.77,5.25,86.0,rain,rain,Rain,2017
2017-01-01T19,51.16,50.74,2.63,0.98,,1020.09,7.09,63.0,rain,rain,Rain,2017
2017-01-01T20,51.13,50.7,2.9,0.98,,1020.25,6.86,106.0,rain,rain,Light Rain,2017
2017-01-01T21,51.18,50.83,2.72,0.99,,1020.37,6.82,90.0,rain,rain,Light Rain,2017
2017-01-01T22,51.2,50.88,3.17,0.99,,1020.68,0.86,94.0,rain,clear-night,Clear,2017
2017-01-01T23,51.35,50.97,2.37,0.99,,1020.35,6.47,68.0,rain,rain,Light Rain,2017
2017-01-02T00,50.61,50.19,2.37,0.98,,1020.88,5.27,79.0,rain,rain,Rain,2017
2017-01-02T01,50.58,50.12,2.26,0.98,1.0,1020.77,5.25,86.0,rain,rain,Rain,2017
2017-01-02T02,51.16,50.74,2.63,0.98,,1020.09,7.09,63.0,rain,rain,Rain,2017
2017-01-02T03,51.13,50.7,2.9,0.98,,1020.25,6.86,106.0,rain,rain,Light Rain,2017
2017-01-02T04,51.18,50.83,2.72,0.99,,1020.37,6.82,90.0,rain,rain,Light Rain,2017
2017-01-02T05,51.2,50.88,3.17,0.99,,1020.68,0.86,94.0,rain,clear-night,Clear,2017
2017-01-02T06,51.35,50.97,2.37,0.99,,1020.35,6.47,68.0,rain,rain,Light Rain,2017
2017-01-02T07,51.29,50.86,2.02,0.98,1.0,1020.46,6.89,60.0,rain,cloudy,Overcast,2017
2017-01-02T08,51.87,51.5,1.31,0.99,,1020.88,5.19,92.0,,fog,Foggy,2017
2017-01-02T09,52.29,51.68,0.78,0.98,,1021.49,7.23,81.0,,fog,Foggy,2017
2017-01-02T10,52.35,51.95,1.07,0.99,,1022.08,5.62,89.0,,fog,Foggy,2017
2017-01-02T11,52.58,52.24,0.72,0.99,,1022.32,6.16,107.0,rain,fog,Foggy,2017
2017-01-02T12,53.55,53.15,0.89,0.99,,1021.79,4.72,71.0,,fog,Foggy,2017
2017-01-02T13,54.56,54.12,1.33,0.98,,1019.66,6.19,71.0,rain,fog,Foggy,2017
2017-01-02T14,55.91,55.56,1.37,0.99,,1019.64,6.59,28.0,rain,rain,Light Rain,2017
2017-01-02T15,55.92,54.8,1.3,0.96,0.31,1019.8,6.25,42.0,rain,rain,Light Rain,2017
2017-01-02T16,55.9,54.79,3.08,0.96,,1020.09,5.81,71.0,rain,rain,Light Rain,2017
2017-01-02T17,55.14,54.75,2.25,0.99,0.31,1018.86,5.17,95.0,rain,rain,Rain,2017
2017-01-02T18,55.7,55.36,2.74,0.99,0.0,1018.96,0.91,69.0,rain,rain,Light Rain,2017
2017-01-02T19,55.86,55.48,2.6,0.99,0.94,1018.37,6.66,72.0,rain,rain,Rain,2017
2017-01-02T20,55.99,54.82,1.74,0.96,0.14,1017.02,6.58,60.0,rain,rain,Rain,2017
2017-01-02T21,56.65,56.2,2.18,0.98,0.0,1016.79,5.48,33.0,rain,rain,Rain,2017
2017-01-02T22,56.73,55.67,2.06,0.96,0.0,1016.4,4.24,319.0,rain,rain,Heavy Rain,2017
2017-01-02T23,57.52,56.34,3.49,0.96,0.12,1015.64,8.18,101.0,rain,rain,Rain,2017
2017-01-03T00,57.1,56.54,3.99,0.98,0.31,1010.88,12.04,147.0,rain,rain,Rain,2017
2017-01-03T01,57.9,57.39,3.6,0.98,1.0,1012.17,5.0,150.0,,cloudy,Overcast,2017
2017-01-03T02,57.7,57.45,2.78,0.99,,1011.46,5.78,161.0,,clear-night,Clear,2017
2017-01-03T03,57.7,57.29,6.49,0.99,,1011.71,6.03,199.0,rain,clear-night,Clear,2017
2017-01-03T04,57.55,56.55,9.02,0.96,0.31,1011.42,3.95,229.0,,partly-cloudy-night,Partly Cloudy,2017
2017-01-03T05,57.63,57.31,9.17,0.99,,1011.3,5.06,223.0,,clear-night,Clear,2017
2017-01-03T06,58.49,57.34,7.78,0.96,,1010.98,5.89,233.0,,clear-night,Clear,2017
2017-01-03T07,58.19,57.65,7.08,0.98,0.64,1010.79,4.59,243.0,rain,partly-cloudy-night,Mostly Cloudy,2017
2017-01-03T08,58.05,56.92,8.43,0.96,0.31,1011.18,6.12,240.0,rain,partly-cloudy-day,Partly Cloudy,2017
2017-01-03T09,59.21,57.33,9.2,0.93,0.3,1011.61,7.12,239.0,,partly-cloudy-day,Partly Cloudy,2017
2017-01-03T10,60.69,57.75,9.67,0.9,0.31,1012.26,8.45,241.0,,partly-cloudy-day,Partly Cloudy,2017
2017-01-03T11,61.69,57.69,9.59,0.87,,1012.25,8.71,249.0,,clear-day,Clear,2017
2017-01-03T12,61.81,56.96,9.55,0.84,,1011.5,7.07,235.0,,clear-day,Clear,2017
