hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year
2015-01-01T00,35.93,30.15,9.46,0.79,0.0,1028.45,6.73,320.0,,clear-night,Clear,2015
2015-01-01T01,36.09,29.55,9.58,0.77,0.5,1028.15,4.64,328.0,,partly-cloudy-night,Partly Cloudy,2015
2015-01-01T02,35.19,28.8,9.7,0.77,0.21,1028.27,6.41,319.0,,clear-night,Clear,2015
2015-01-01T03,34.42,27.91,9.63,0.77,0.22,1028.13,5.29,330.0,,clear-night,Clear,2015
2015-01-01T04,33.91,26.55,9.56,0.74,0.23,1027.53,4.38,345.0,,clear-night,Clear,2015
2015-01-01T05,33.49,27.12,9.43,0.77,0.22,1027.06,7.15,331.0,,clear-night,Clear,2015
2015-01-01T06,32.43,26.45,9.36,0.78,0.21,1026.97,2.93,309.0,,clear-night,Clear,2015
2015-01-01T07,31.45,26.07,9.68,0.8,0.21,1027.75,6.49,309.0,,clear-night,Clear,2015
2015-01-01T08,31.46,25.97,9.45,0.8,0.22,1028.1,2.2,220.0,,clear-day,Clear,2015
2015-01-01T09,36.04,27.98,9.79,0.72,0.22,1027.73,0.0,,,clear-day,Clear,2015
2015-01-01T10,41.86,27.77,9.78,0.57,0.02,1028.2,2.06,263.0,,clear-day,Clear,2015
2015-01-01T11,46.51,27.3,10.0,0.47,0.02,1028.55,3.97,307.0,,clear-day,Clear,2015
2015-01-01T12,49.85,22.89,10.0,0.34,0.04,1027.02,3.22,213.0,,clear-day,Clear,2015
2015-01-01T13,52.58,22.9,10.0,0.31,0.61,1025.9,3.15,260.0,,partly-cloudy-day,Mostly Cloudy,2015
2015-01-01T14,55.14,25.79,10.0,0.32,0.08,1025.43,4.5,282.0,,clear-day,Clear,2015
2015-01-01T15,56.06,26.54,10.0,0.32,0.19,1024.76,2.97,295.0,,clear-day,Clear,2015
2015-01-01T16,55.1,27.56,10.0,0.34,0.19,1025.07,3.61,285.0,,clear-day,Clear,2015
2015-01-01T17,53.42,29.95,10.0,0.4,0.23,1025.36,4.95,285.0,,clear-day,Clear,2015
2015-01-01T18,51.98,31.1,10.0,0.45,0.16,1025.46,6.46,303.0,,clear-night,Clear,2015
2015-01-01T19,50.77,31.14,10.0,0.47,0.69,1025.93,4.57,335.0,,partly-cloudy-night,Mostly Cloudy,2015
2015-01-01T20,48.92,33.96,10.0,0.56,0.31,1027.12,7.1,330.0,rain,partly-cloudy-night,Partly Cloudy,2015
2015-01-01T21,46.34,34.68,9.89,0.64,0.31,1027.61,6.82,330.0,rain,partly-cloudy-night,Partly Cloudy,2015
2015-01-01T22,44.7,37.59,9.86,0.76,0.31,1028.28,3.88,335.0,rain,rain,Light Rain,2015
2015-01-01T23,43.01,37.08,9.64,0.79,0.31,1027.63,5.43,340.0,rain,rain,Light Rain,2015
2015-01-02T00,42.86,37.42,9.96,0.81,0.31,1026.8,6.34,351.0,rain,rain,Light Rain,2015
