hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year
2014-01-01T00,34.57,27.05,9.9,0.74,0.0,1028.62,2.74,318.0,,clear-night,Clear,2014
2014-01-01T01,35.52,28.1,9.78,0.74,0.64,1027.78,3.0,30.0,,partly-cloudy-night,Mostly Cloudy,2014
2014-01-01T02,34.63,27.62,9.81,0.75,0.0,1027.23,2.39,176.0,,clear-night,Clear,2014
2014-01-01T03,35.24,29.07,9.75,0.78,0.0,1027.35,1.86,52.0,,clear-night,Clear,2014
2014-01-01T04,35.28,29.01,9.7,0.78,0.0,1027.36,2.3,96.0,,clear-night,Clear,2014
2014-01-01T05,35.29,28.52,9.6,0.76,0.0,1026.57,2.68,107.0,,clear-night,Clear,2014
2014-01-01T06,35.2,28.36,9.49,0.76,0.0,1026.79,4.67,79.0,,clear-night,Clear,2014
2014-01-01T07,35.07,28.29,9.5,0.76,0.64,1027.51,4.5,71.0,,partly-cloudy-night,Mostly Cloudy,2014
2014-01-01T08,34.97,28.42,9.26,0.77,0.0,1027.68,2.59,109.0,,clear-day,Clear,2014
2014-01-01T09,36.3,30.23,9.26,0.78,0.0,1027.76,4.44,87.0,,clear-day,Clear,2014
2014-01-01T10,38.78,29.76,9.66,0.7,0.0,1028.21,5.43,75.0,,clear-day,Clear,2014
2014-01-01T11,41.21,29.56,10.0,0.63,0.0,1028.35,3.01,94.0,,clear-day,Clear,2014
2014-01-01T12,43.46,29.33,10.0,0.57,0.0,1027.33,4.47,142.0,,clear-day,Clear,2014
2014-01-01T13,45.28,28.99,10.0,0.53,0.56,1025.87,3.18,119.0,,partly-cloudy-day,Partly Cloudy,2014
2014-01-01T14,45.51,29.31,10.0,0.53,0.0,1024.9,3.36,140.0,,clear-day,Clear,2014
2014-01-01T15,46.43,30.35,10.0,0.53,0.0,1024.17,3.49,135.0,,clear-day,Clear,2014
2014-01-01T16,47.08,32.17,9.93,0.56,0.0,1023.57,4.55,139.0,,clear-day,Clear,2014
2014-01-01T17,46.59,33.0,9.93,0.59,0.0,1023.16,3.05,123.0,,clear-day,Clear,2014
2014-01-01T18,45.76,34.07,9.93,0.63,0.0,1023.18,3.15,136.0,,clear-night,Clear,2014
2014-01-01T19,45.62,34.28,9.93,0.64,0.95,1023.11,2.94,139.0,,cloudy,Overcast,2014
2014-01-01T20,44.99,35.83,9.91,0.7,,1022.77,5.17,139.0,,clear-night,Clear,2014
2014-01-01T21,44.91,36.47,9.91,0.72,,1022.47,3.11,130.0,,clear-night,Clear,2014
