,hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year,Month
2382,2010-04-10T06,46.29,34.56,9.93,0.63,0.22,1023.72,6.92,351.0,,clear-night,Clear,2010,04
2383,2010-04-10T07,45.59,34.03,9.97,0.64,0.22,1024.62,3.12,1.0,,clear-night,Clear,2010,04
2384,2010-04-10T08,46.34,35.55,9.91,0.66,0.53,1025.91,7.62,342.0,,partly-cloudy-day,Partly Cloudy,2010,04
2385,2010-04-10T09,52.21,36.44,10.0,0.55,0.54,1026.89,3.25,53.0,,partly-cloudy-day,Partly Cloudy,2010,04
2386,2010-04-10T10,57.55,36.05,10.0,0.44,0.53,1027.58,6.39,95.0,,partly-cloudy-day,Partly Cloudy,2010,04
2387,2010-04-10T11,60.52,33.56,10.0,0.36,0.53,1028.05,8.06,125.0,,partly-cloudy-day,Partly Cloudy,2010,04
2388,2010-04-10T12,63.55,34.73,9.93,0.34,0.53,1028.03,7.52,102.0,,partly-cloudy-day,Partly Cloudy,2010,04
2389,2010-04-10T13,65.61,32.49,10.0,0.29,0.53,1027.62,4.37,121.0,,partly-cloudy-day,Partly Cloudy,2010,04
2390,2010-04-10T14,67.72,32.5,9.88,0.27,0.53,1027.1,8.61,146.0,,partly-cloudy-day,Partly Cloudy,2010,04
2391,2010-04-10T15,69.51,33.44,10.0,0.26,0.22,1026.1,3.46,98.0,,clear-day,Clear,2010,04
2392,2010-04-10T16,70.69,31.32,10.0,0.23,0.22,1025.59,2.76,127.0,,clear-day,Clear,2010,04
2393,2010-04-10T17,70.78,31.65,10.0,0.23,0.22,1025.02,4.21,148.0,,clear-day,Clear,2010,04
2394,2010-04-10T18,72.08,34.3,10.0,0.25,0.22,1024.63,5.89,96.0,,clear-day,Clear,2010,04
2395,2010-04-10T19,70.23,31.75,10.0,0.24,0.24,1024.91,5.28,117.0,,clear-day,Clear,2010,04
2396,2010-04-10T20,69.5,41.88,10.0,0.37,0.0,1023.22,5.75,170.0,,clear-day,Clear,2010,04
2397,2010-04-10T21,64.28,35.33,10.0,0.34,0.22,1025.56,2.98,128.0,,clear-night,Clear,2010,04
2398,2010-04-10T22,60.37,37.42,10.0,0.42,0.22,1025.86,4.86,111.0,,clear-night,Clear,2010,04
2399,2010-04-10T23,58.3,38.09,10.0,0.47,0.02,1026.26,4.85,88.0,,clear-night,Clear,2010,04
2400,2010-04-11T00,57.48,38.75,10.0,0.5,0.0,1026.16,3.93,0.0,,clear-night,Clear,2010,04
2401,2010-04-11T01,56.2,38.58,10.0,0.52,0.0,1026.14,2.89,89.0,,clear-night,Clear,2010,04
2402,2010-04-11T02,53.11,38.94,10.0,0.58,0.0,1025.86,2.92,101.0,,clear-night,Clear,2010,04
2403,2010-04-11T03,52.82,38.96,10.0,0.59,0.0,1025.58,5.66,60.0,,clear-night,Clear,2010,04
2404,2010-04-11T04,51.09,39.51,10.0,0.64,0.0,1025.63,0.0,,,clear-night,Clear,2010,04
2405,2010-04-11T05,50.28,39.6,9.97,0.67,0.01,1025.75,1.36,10.0,,clear-night,Clear,2010,04
2406,2010-04-11T06,50.72,40.24,9.85,0.67,0.04,1025.6,1.42,25.0,,clear-night,Clear,2010,04
2407,2010-04-11T07,48.97,40.71,9.72,0.73,0.02,1026.27,2.91,99.0,,clear-night,Clear,2010,04
2408,2010-04-11T08,48.85,41.68,9.73,0.76,0.22,1026.99,2.33,90.0,,clear-day,Clear,2010,04
2409,2010-04-11T09,54.74,44.61,9.97,0.69,0.22,1027.6,2.34,74.0,,clear-day,Clear,2010,04
2410,2010-04-11T10,59.96,46.84,10.0,0.62,0.51,1028.05,2.7,163.0,,partly-cloudy-day,Partly Cloudy,2010,04
2411,2010-04-11T11,65.16,49.28,10.0,0.56,0.21,1028.04,1.59,194.0,,clear-day,Clear,2010,04
2412,2010-04-11T12,68.31,47.75,10.0,0.48,0.22,1027.65,0.08,147.0,,clear-day,Clear,2010,04
2413,2010-04-11T13,70.38,41.53,10.0,0.35,0.32,1026.93,3.72,52.0,,partly-cloudy-day,Partly Cloudy,2010,04
2414,2010-04-11T14,72.17,41.77,10.0,0.33,0.26,1026.0,1.92,106.0,,partly-cloudy-day,Partly Cloudy,2010,04
2415,2010-04-11T15,72.6,40.38,10.0,0.31,0.23,1024.82,0.96,72.0,,clear-day,Clear,2010,04
2416,2010-04-11T16,72.89,39.42,10.0,0.3,0.22,1024.18,1.66,112.0,,clear-day,Clear,2010,04
2417,2010-04-11T17,73.55,38.11,10.0,0.28,0.2,1023.52,5.97,170.0,,clear-day,Clear,2010,04
2418,2010-04-11T18,74.28,39.79,10.0,0.29,0.2,1023.19,5.96,63.0,,clear-day,Clear,2010,04
2419,2010-04-11T19,73.3,40.63,10.0,0.31,0.0,1023.2,1.99,141.0,,clear-day,Clear,2010,04
2420,2010-04-11T20,74.06,41.0,10.0,0.3,0.22,1022.42,5.82,137.0,,clear-day,Clear,2010,04
2421,2010-04-11T21,65.34,43.37,10.0,0.45,0.0,1023.7,4.84,190.0,,clear-night,Clear,2010,04
2422,2010-04-11T22,63.51,43.86,9.98,0.49,0.0,1024.04,4.79,161.0,,clear-night,Clear,2010,04
2423,2010-04-11T23,61.12,45.19,10.0,0.56,0.0,1024.07,2.98,161.0,,clear-night,Clear,2010,04
2424,2010-04-12T00,59.35,43.62,10.0,0.56,0.0,1023.97,3.0,220.0,,clear-night,Clear,2010,04
2425,2010-04-12T01,58.73,43.52,9.97,0.57,0.0,1024.24,,,,clear-night,Clear,2010,04
2426,2010-04-12T02,57.47,43.63,9.85,0.6,0.0,1024.18,1.5,303.0,,clear-night,Clear,2010,04
2427,2010-04-12T03,53.89,44.77,9.79,0.71,0.0,1023.85,1.66,313.0,,clear-night,Clear,2010,04
2428,2010-04-12T04,55.39,44.25,9.63,0.66,0.0,1023.49,1.52,10.0,,clear-night,Clear,2010,04
2429,2010-04-12T05,51.67,43.42,9.44,0.73,0.0,1023.38,2.2,354.0,,clear-night,Clear,2010,04
2430,2010-04-12T06,52.28,43.4,9.37,0.72,0.0,1023.48,3.0,20.0,,clear-night,Clear,2010,04
2431,2010-04-12T07,50.61,43.7,9.54,0.77,0.0,1024.0,3.0,350.0,rain,clear-night,Clear,2010,04
2432,2010-04-12T08,52.4,44.39,9.3,0.74,0.0,1024.72,1.32,341.0,,clear-day,Clear,2010,04
2433,2010-04-12T09,60.46,47.75,9.65,0.63,0.0,1025.35,3.42,354.0,,clear-day,Clear,2010,04
2434,2010-04-12T10,66.72,46.83,9.91,0.49,0.0,1025.29,2.95,317.0,,clear-day,Clear,2010,04
2435,2010-04-12T11,71.57,45.92,10.0,0.4,0.01,1025.27,5.23,346.0,,clear-day,Clear,2010,04
2436,2010-04-12T12,74.97,43.64,10.0,0.33,0.01,1025.33,5.96,53.0,,clear-day,Clear,2010,04
2437,2010-04-12T13,76.33,41.4,10.0,0.29,0.01,1024.88,6.01,82.0,,clear-day,Clear,2010,04
2438,2010-04-12T14,78.33,41.17,10.0,0.27,0.21,1023.99,10.74,78.0,,clear-day,Clear,2010,04
2439,2010-04-12T15,78.67,39.49,10.0,0.25,0.21,1023.31,10.64,118.0,,clear-day,Clear,2010,04
2440,2010-04-12T16,79.44,39.22,10.0,0.24,0.21,1022.51,5.9,102.0,,clear-day,Clear,2010,04
2441,2010-04-12T17,79.37,39.18,10.0,0.24,0.2,1022.3,7.52,126.0,,clear-day,Clear,2010,04
2442,2010-04-12T18,78.58,39.34,10.0,0.25,0.01,1022.18,6.68,117.0,,clear-day,Clear,2010,04
2443,2010-04-12T19,77.21,40.36,10.0,0.27,0.22,1022.37,7.47,112.0,,clear-day,Clear,2010,04
2444,2010-04-12T20,73.54,44.6,10.0,0.36,0.0,1024.38,6.19,158.0,,clear-day,Clear,2010,04
2445,2010-04-12T21,69.53,43.62,10.0,0.39,0.22,1022.84,4.72,149.0,,clear-night,Clear,2010,04
2446,2010-04-12T22,67.27,44.09,10.0,0.43,0.21,1023.55,3.02,138.0,,clear-night,Clear,2010,04
2447,2010-04-12T23,64.78,44.98,9.91,0.49,0.21,1023.98,0.0,,,clear-night,Clear,2010,04
2448,2010-04-13T00,62.76,44.55,10.0,0.51,0.21,1024.24,,,,clear-night,Clear,2010,04
2449,2010-04-13T01,60.15,45.41,10.0,0.58,0.21,1024.54,3.0,130.0,,clear-night,Clear,2010,04
2450,2010-04-13T02,59.65,44.97,10.0,0.58,0.21,1024.64,1.48,150.0,,clear-night,Clear,2010,04
2451,2010-04-13T03,57.31,44.76,9.89,0.63,0.0,1024.42,,,,clear-night,Clear,2010,04
2452,2010-04-13T04,55.53,43.91,9.93,0.65,0.0,1024.32,,,,clear-night,Clear,2010,04
2453,2010-04-13T05,54.47,43.63,9.74,0.67,0.0,1024.44,3.0,110.0,,clear-night,Clear,2010,04
2454,2010-04-13T06,53.49,44.17,9.59,0.71,0.0,1024.28,2.93,140.0,,clear-night,Clear,2010,04
2455,2010-04-13T07,53.16,44.22,9.61,0.72,0.0,1025.0,3.0,350.0,,clear-night,Clear,2010,04
2456,2010-04-13T08,53.8,44.74,9.39,0.71,0.21,1026.2,,,,clear-day,Clear,2010,04
2457,2010-04-13T09,60.34,47.96,9.68,0.64,0.21,1026.8,3.0,120.0,,clear-day,Clear,2010,04
2458,2010-04-13T10,65.45,44.5,10.0,0.47,0.21,1027.08,5.69,181.0,,clear-day,Clear,2010,04
2459,2010-04-13T11,68.41,46.5,10.0,0.45,0.2,1027.65,2.74,196.0,,clear-day,Clear,2010,04
2460,2010-04-13T12,72.16,48.14,10.0,0.43,0.0,1027.62,2.69,109.0,,clear-day,Clear,2010,04
2461,2010-04-13T13,74.43,45.86,10.0,0.36,0.0,1027.12,2.22,102.0,,clear-day,Clear,2010,04
2462,2010-04-13T14,75.88,45.89,10.0,0.35,0.21,1026.59,4.19,136.0,,clear-day,Clear,2010,04
2463,2010-04-13T15,77.63,44.72,10.0,0.31,0.21,1025.88,10.81,82.0,,clear-day,Clear,2010,04
2464,2010-04-13T16,78.07,44.62,10.0,0.31,0.02,1024.96,7.74,73.0,,clear-day,Clear,2010,04
2465,2010-04-13T17,78.73,43.31,10.0,0.28,0.22,1024.47,8.7,107.0,,clear-day,Clear,2010,04
2466,2010-04-13T18,78.01,43.23,10.0,0.29,0.22,1024.18,7.31,105.0,,clear-day,Clear,2010,04
2467,2010-04-13T19,77.36,43.01,10.0,0.29,0.01,1024.15,6.82,133.0,,clear-day,Clear,2010,04
2468,2010-04-13T20,75.41,48.91,9.95,0.39,0.25,1026.41,6.07,155.0,,partly-cloudy-day,Partly Cloudy,2010,04
2469,2010-04-13T21,70.34,44.99,10.0,0.4,0.0,1024.81,2.66,143.0,,clear-night,Clear,2010,04
2470,2010-04-13T22,67.85,47.0,10.0,0.47,0.0,1025.61,3.5,170.0,,clear-night,Clear,2010,04
2471,2010-04-13T23,66.26,47.12,10.0,0.5,0.0,1025.82,2.82,132.0,,clear-night,Clear,2010,04
2472,2010-04-14T00,64.0,47.74,9.85,0.55,0.0,1025.84,2.91,141.0,,clear-night,Clear,2010,04
2473,2010-04-14T01,62.14,47.38,9.72,0.58,0.0,1025.84,4.76,159.0,,clear-night,Clear,2010,04
2474,2010-04-14T02,60.89,46.75,9.69,0.6,0.0,1025.96,4.93,171.0,,clear-night,Clear,2010,04
2475,2010-04-14T03,59.71,45.36,9.58,0.59,0.0,1025.98,3.0,0.0,,clear-night,Clear,2010,04
2476,2010-04-14T04,57.88,45.81,9.38,0.64,0.0,1026.15,,,,clear-night,Clear,2010,04
2477,2010-04-14T05,56.98,46.28,9.21,0.67,0.0,1026.27,0.0,,,clear-night,Clear,2010,04
2478,2010-04-14T06,56.07,46.43,9.08,0.7,0.0,1026.76,0.0,,,clear-night,Clear,2010,04
2479,2010-04-14T07,54.36,46.4,8.97,0.74,0.0,1027.4,,,,clear-night,Clear,2010,04
2480,2010-04-14T08,56.19,47.36,8.93,0.72,0.0,1028.49,2.53,30.0,,clear-day,Clear,2010,04
2481,2010-04-14T09,60.74,51.92,9.24,0.73,0.0,1029.46,8.0,90.0,,clear-day,Clear,2010,04
2482,2010-04-14T10,65.81,53.46,9.87,0.64,0.0,1030.16,2.94,240.0,,clear-day,Clear,2010,04
2483,2010-04-14T11,70.02,54.72,10.0,0.58,0.0,1030.44,1.17,118.0,,clear-day,Clear,2010,04
2484,2010-04-14T12,72.48,52.8,10.0,0.5,0.01,1030.31,3.73,91.0,,clear-day,Clear,2010,04
2485,2010-04-14T13,75.6,51.08,10.0,0.42,0.01,1029.59,5.46,94.0,,clear-day,Clear,2010,04
2486,2010-04-14T14,77.84,48.98,10.0,0.36,0.2,1028.77,4.78,101.0,,clear-day,Clear,2010,04
2487,2010-04-14T15,78.96,48.93,10.0,0.35,0.22,1028.06,4.25,139.0,,clear-day,Clear,2010,04
2488,2010-04-14T16,79.76,48.62,10.0,0.34,0.22,1027.38,5.16,123.0,,clear-day,Clear,2010,04
2489,2010-04-14T17,80.44,48.83,10.0,0.33,0.24,1026.77,4.05,123.0,,clear-day,Clear,2010,04
2490,2010-04-14T18,79.57,48.94,10.0,0.34,0.53,1026.47,5.41,140.0,,partly-cloudy-day,Partly Cloudy,2010,04
2491,2010-04-14T19,79.05,48.53,10.0,0.34,0.52,1026.38,7.25,148.0,,partly-cloudy-day,Partly Cloudy,2010,04
2492,2010-04-14T20,74.57,52.76,9.92,0.47,0.24,1024.84,5.26,160.0,,clear-day,Clear,2010,04
2493,2010-04-14T21,72.5,50.44,9.84,0.46,0.24,1026.61,3.29,125.0,,clear-night,Clear,2010,04
2494,2010-04-14T22,69.69,51.63,8.18,0.53,0.22,1027.19,6.78,127.0,,clear-night,Clear,2010,04
2495,2010-04-14T23,68.54,51.54,9.04,0.55,0.22,1027.73,7.56,107.0,,clear-night,Clear,2010,04
2496,2010-04-15T00,66.11,53.99,8.93,0.65,0.22,1028.3,6.8,99.0,,clear-night,Clear,2010,04
2497,2010-04-15T01,64.5,53.74,9.2,0.68,0.21,1028.51,8.38,97.0,,clear-night,Clear,2010,04
2498,2010-04-15T02,62.07,52.72,9.83,0.71,0.21,1028.81,11.15,89.0,,clear-night,Clear,2010,04
2499,2010-04-15T03,60.19,52.85,9.81,0.77,0.22,1028.88,11.08,81.0,,clear-night,Clear,2010,04
2500,2010-04-15T04,58.33,51.95,9.8,0.79,0.24,1028.79,8.8,88.0,,clear-night,Clear,2010,04
2501,2010-04-15T05,57.01,51.65,7.56,0.82,0.61,1028.9,8.04,81.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2502,2010-04-15T06,56.86,51.54,9.49,0.82,0.93,1029.02,8.54,79.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2503,2010-04-15T07,56.74,50.66,9.13,0.8,0.97,1029.63,10.37,87.0,,cloudy,Overcast,2010,04
2504,2010-04-15T08,56.87,50.84,6.62,0.8,1.0,1030.24,7.74,88.0,,cloudy,Overcast,2010,04
2505,2010-04-15T09,57.99,51.81,6.13,0.8,0.81,1030.72,5.29,98.0,,partly-cloudy-day,Mostly Cloudy,2010,04
2506,2010-04-15T10,60.92,53.74,7.06,0.77,0.43,1030.65,0.69,149.0,,partly-cloudy-day,Partly Cloudy,2010,04
2507,2010-04-15T11,63.18,53.24,7.82,0.7,0.26,1030.56,1.27,134.0,,partly-cloudy-day,Partly Cloudy,2010,04
2508,2010-04-15T12,67.26,53.47,8.66,0.61,0.24,1030.01,2.32,252.0,,clear-day,Clear,2010,04
2509,2010-04-15T13,71.07,54.29,9.54,0.55,0.21,1029.19,4.9,262.0,,clear-day,Clear,2010,04
2510,2010-04-15T14,74.41,55.39,9.62,0.52,0.21,1028.06,5.44,316.0,,clear-day,Clear,2010,04
2511,2010-04-15T15,77.39,55.4,9.9,0.47,0.22,1027.24,4.32,34.0,,clear-day,Clear,2010,04
2512,2010-04-15T16,78.65,54.23,9.93,0.43,0.22,1026.23,2.53,320.0,,clear-day,Clear,2010,04
2513,2010-04-15T17,79.5,50.75,10.0,0.37,0.22,1025.43,5.74,100.0,,clear-day,Clear,2010,04
2514,2010-04-15T18,79.64,49.46,10.0,0.35,0.22,1025.03,3.21,140.0,,clear-day,Clear,2010,04
2515,2010-04-15T19,79.03,49.92,10.0,0.36,0.23,1024.85,7.36,168.0,,clear-day,Clear,2010,04
2516,2010-04-15T20,76.87,46.76,9.93,0.35,0.25,1016.64,5.54,258.0,,partly-cloudy-day,Partly Cloudy,2010,04
2517,2010-04-15T21,69.88,53.22,9.97,0.56,0.25,1025.1,4.89,189.0,,partly-cloudy-night,Partly Cloudy,2010,04
2518,2010-04-15T22,68.26,52.96,9.63,0.58,0.23,1025.82,2.9,169.0,,clear-night,Clear,2010,04
2519,2010-04-15T23,66.23,54.25,9.53,0.65,0.54,1025.93,2.86,193.0,,partly-cloudy-night,Partly Cloudy,2010,04
2520,2010-04-16T00,64.72,54.11,9.16,0.68,0.52,1025.66,2.46,164.0,,partly-cloudy-night,Partly Cloudy,2010,04
2521,2010-04-16T01,63.61,53.87,9.08,0.71,0.22,1025.53,4.89,170.0,,clear-night,Clear,2010,04
2522,2010-04-16T02,61.92,53.75,9.12,0.75,0.24,1025.31,3.0,230.0,,clear-night,Clear,2010,04
2523,2010-04-16T03,60.87,53.52,8.87,0.77,0.32,1024.91,4.89,310.0,,partly-cloudy-night,Partly Cloudy,2010,04
2524,2010-04-16T04,59.34,52.7,8.7,0.79,0.27,1024.34,3.58,290.0,,partly-cloudy-night,Partly Cloudy,2010,04
2525,2010-04-16T05,59.14,52.62,8.57,0.79,0.23,1024.01,3.07,273.0,,clear-night,Clear,2010,04
2526,2010-04-16T06,58.6,52.3,8.1,0.8,0.23,1023.55,4.12,295.0,,clear-night,Clear,2010,04
2527,2010-04-16T07,58.16,52.3,7.2,0.81,0.24,1023.67,0.92,260.0,,clear-night,Clear,2010,04
2528,2010-04-16T08,58.9,52.8,5.65,0.8,0.23,1024.13,1.42,270.0,,clear-day,Clear,2010,04
2529,2010-04-16T09,62.7,55.07,6.71,0.76,0.23,1024.25,4.22,243.0,,clear-day,Clear,2010,04
2530,2010-04-16T10,69.14,56.12,8.42,0.63,0.22,1023.9,6.41,277.0,,clear-day,Clear,2010,04
2531,2010-04-16T11,74.12,56.56,9.42,0.54,0.24,1023.57,6.26,263.0,,clear-day,Clear,2010,04
2532,2010-04-16T12,77.48,55.08,9.63,0.46,0.01,1022.97,4.71,303.0,,clear-day,Clear,2010,04
2533,2010-04-16T13,80.24,52.32,9.79,0.38,0.27,1022.09,6.12,263.0,,partly-cloudy-day,Partly Cloudy,2010,04
2534,2010-04-16T14,81.24,47.13,10.0,0.3,0.25,1021.08,4.97,294.0,,partly-cloudy-day,Partly Cloudy,2010,04
2535,2010-04-16T15,82.15,45.03,9.86,0.27,0.25,1020.1,5.73,291.0,,partly-cloudy-day,Partly Cloudy,2010,04
2536,2010-04-16T16,83.17,44.89,10.0,0.26,0.3,1018.88,8.58,285.0,,partly-cloudy-day,Partly Cloudy,2010,04
2537,2010-04-16T17,81.0,44.16,9.93,0.27,0.25,1017.89,5.09,276.0,,partly-cloudy-day,Partly Cloudy,2010,04
2538,2010-04-16T18,81.46,44.93,9.9,0.28,0.31,1017.31,8.61,284.0,,partly-cloudy-day,Partly Cloudy,2010,04
2539,2010-04-16T19,80.67,44.83,9.93,0.28,0.25,1017.08,6.09,254.0,,partly-cloudy-day,Partly Cloudy,2010,04
2540,2010-04-16T20,68.84,54.24,10.0,0.6,0.73,1012.87,12.15,336.0,,partly-cloudy-day,Mostly Cloudy,2010,04
2541,2010-04-16T21,71.84,47.64,9.88,0.42,0.23,1016.78,5.69,262.0,,clear-night,Clear,2010,04
2542,2010-04-16T22,70.97,48.95,9.82,0.46,0.54,1017.08,4.83,266.0,,partly-cloudy-night,Partly Cloudy,2010,04
2543,2010-04-16T23,68.55,50.36,9.79,0.52,0.6,1016.88,3.01,242.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2544,2010-04-17T00,67.43,49.82,9.69,0.53,0.56,1016.62,5.79,240.0,,partly-cloudy-night,Partly Cloudy,2010,04
2545,2010-04-17T01,65.77,49.94,9.67,0.57,0.57,1016.41,5.59,235.0,,partly-cloudy-night,Partly Cloudy,2010,04
2546,2010-04-17T02,63.53,49.49,9.53,0.6,0.58,1016.18,4.77,234.0,,partly-cloudy-night,Partly Cloudy,2010,04
2547,2010-04-17T03,63.31,48.9,9.54,0.59,0.54,1015.59,5.2,262.0,,partly-cloudy-night,Partly Cloudy,2010,04
2548,2010-04-17T04,61.92,48.92,9.6,0.62,0.53,1015.04,5.49,276.0,,partly-cloudy-night,Partly Cloudy,2010,04
2549,2010-04-17T05,60.21,48.69,9.37,0.66,0.52,1014.94,6.64,289.0,,partly-cloudy-night,Partly Cloudy,2010,04
2550,2010-04-17T06,59.7,48.54,9.19,0.67,0.25,1014.73,6.8,280.0,,partly-cloudy-night,Partly Cloudy,2010,04
2551,2010-04-17T07,58.03,48.53,9.08,0.71,0.24,1014.93,3.5,257.0,,clear-night,Clear,2010,04
2552,2010-04-17T08,59.4,49.73,9.03,0.7,0.25,1015.48,6.5,268.0,,partly-cloudy-day,Partly Cloudy,2010,04
2553,2010-04-17T09,64.38,50.56,9.58,0.61,0.22,1015.89,5.9,265.0,,clear-day,Clear,2010,04
2554,2010-04-17T10,69.64,51.53,9.82,0.53,0.22,1015.77,5.47,278.0,,clear-day,Clear,2010,04
2555,2010-04-17T11,72.55,51.49,9.96,0.48,0.23,1015.81,7.49,304.0,,clear-day,Clear,2010,04
2556,2010-04-17T12,76.34,52.93,10.0,0.44,0.22,1015.66,7.71,279.0,,clear-day,Clear,2010,04
2557,2010-04-17T13,78.33,50.3,10.0,0.38,0.54,1014.96,10.11,319.0,,partly-cloudy-day,Partly Cloudy,2010,04
2558,2010-04-17T14,80.02,49.91,10.0,0.35,0.61,1014.09,14.4,273.0,,partly-cloudy-day,Mostly Cloudy,2010,04
2559,2010-04-17T15,80.09,49.26,10.0,0.34,0.62,1013.4,14.43,304.0,,partly-cloudy-day,Mostly Cloudy,2010,04
2560,2010-04-17T16,78.87,50.2,10.0,0.37,0.64,1012.64,13.29,302.0,,partly-cloudy-day,Mostly Cloudy,2010,04
2561,2010-04-17T17,78.34,51.27,9.71,0.39,0.67,1012.04,11.6,306.0,,partly-cloudy-day,Mostly Cloudy,2010,04
2562,2010-04-17T18,75.2,54.6,9.79,0.49,0.65,1012.33,12.18,338.0,,partly-cloudy-day,Mostly Cloudy,2010,04
2563,2010-04-17T19,70.94,55.49,10.0,0.58,0.7,1012.87,11.33,337.0,,partly-cloudy-day,Mostly Cloudy,2010,04
2564,2010-04-17T20,66.69,31.06,10.0,0.26,0.51,1014.13,7.51,309.0,,partly-cloudy-day,Partly Cloudy,2010,04
2565,2010-04-17T21,66.91,50.42,10.0,0.55,0.66,1013.13,13.3,330.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2566,2010-04-17T22,64.94,49.78,10.0,0.58,0.29,1013.61,6.64,328.0,,partly-cloudy-night,Partly Cloudy,2010,04
2567,2010-04-17T23,62.83,50.69,10.0,0.65,0.24,1013.61,6.55,317.0,,clear-night,Clear,2010,04
2568,2010-04-18T00,60.94,49.96,10.0,0.67,0.25,1013.49,7.51,318.0,,partly-cloudy-night,Partly Cloudy,2010,04
2569,2010-04-18T01,59.91,48.59,10.0,0.66,0.24,1013.38,7.56,310.0,,clear-night,Clear,2010,04
2570,2010-04-18T02,58.96,45.24,10.0,0.6,0.23,1012.89,8.06,322.0,,clear-night,Clear,2010,04
2571,2010-04-18T03,57.76,41.35,10.0,0.54,0.21,1012.86,8.0,330.0,,clear-night,Clear,2010,04
2572,2010-04-18T04,55.78,37.7,10.0,0.51,0.21,1013.07,7.91,332.0,,clear-night,Clear,2010,04
2573,2010-04-18T05,53.83,35.87,10.0,0.5,0.21,1013.39,8.31,341.0,,clear-night,Clear,2010,04
2574,2010-04-18T06,51.51,35.36,10.0,0.54,0.22,1014.17,6.41,349.0,,clear-night,Clear,2010,04
2575,2010-04-18T07,49.95,35.03,10.0,0.56,0.22,1015.12,7.24,350.0,,clear-night,Clear,2010,04
2576,2010-04-18T08,51.23,35.62,10.0,0.55,0.23,1016.37,7.32,352.0,,clear-day,Clear,2010,04
2577,2010-04-18T09,57.04,34.02,10.0,0.42,0.22,1016.62,6.64,20.0,,clear-day,Clear,2010,04
2578,2010-04-18T10,60.64,34.04,10.0,0.37,0.22,1016.8,9.42,59.0,,clear-day,Clear,2010,04
2579,2010-04-18T11,63.06,34.87,10.0,0.35,0.22,1016.95,6.84,82.0,,clear-day,Clear,2010,04
2580,2010-04-18T12,65.87,36.3,10.0,0.33,0.23,1016.53,6.37,40.0,,clear-day,Clear,2010,04
2581,2010-04-18T13,67.55,36.18,10.0,0.31,0.21,1015.74,3.33,5.0,,clear-day,Clear,2010,04
2582,2010-04-18T14,70.1,35.9,10.0,0.28,0.22,1014.96,6.27,311.0,,clear-day,Clear,2010,04
2583,2010-04-18T15,71.34,35.7,10.0,0.27,0.21,1014.36,6.91,293.0,,clear-day,Clear,2010,04
2584,2010-04-18T16,73.55,33.2,10.0,0.23,0.21,1013.74,7.12,336.0,,clear-day,Clear,2010,04
2585,2010-04-18T17,73.13,34.05,10.0,0.24,0.21,1013.33,2.07,340.0,,clear-day,Clear,2010,04
2586,2010-04-18T18,72.18,32.44,10.0,0.23,0.21,1013.52,8.24,318.0,,clear-day,Clear,2010,04
2587,2010-04-18T19,70.17,30.91,10.0,0.23,0.22,1013.73,7.94,304.0,,clear-day,Clear,2010,04
2588,2010-04-18T20,66.52,43.44,10.0,0.43,0.7,1015.47,4.87,176.0,,partly-cloudy-day,Mostly Cloudy,2010,04
2589,2010-04-18T21,63.01,34.22,10.0,0.34,0.24,1014.4,7.67,321.0,,clear-night,Clear,2010,04
2590,2010-04-18T22,60.87,35.18,10.0,0.38,0.24,1014.83,8.64,340.0,,clear-night,Clear,2010,04
2591,2010-04-18T23,58.91,34.61,10.0,0.4,0.22,1015.17,7.42,340.0,,clear-night,Clear,2010,04
2592,2010-04-19T00,56.46,35.5,10.0,0.45,0.21,1015.44,4.8,341.0,,clear-night,Clear,2010,04
2593,2010-04-19T01,55.52,36.13,10.0,0.48,0.21,1015.4,2.94,352.0,,clear-night,Clear,2010,04
2594,2010-04-19T02,53.4,36.75,10.0,0.53,0.21,1015.58,4.83,79.0,,clear-night,Clear,2010,04
2595,2010-04-19T03,51.28,36.9,10.0,0.58,0.21,1015.57,6.9,79.0,,clear-night,Clear,2010,04
2596,2010-04-19T04,51.88,37.88,10.0,0.59,0.21,1015.44,6.23,66.0,,clear-night,Clear,2010,04
2597,2010-04-19T05,50.6,38.53,10.0,0.63,0.21,1016.06,7.55,88.0,,clear-night,Clear,2010,04
2598,2010-04-19T06,49.6,38.66,10.0,0.66,0.5,1016.33,8.03,88.0,,partly-cloudy-night,Partly Cloudy,2010,04
2599,2010-04-19T07,48.94,38.33,10.0,0.67,0.25,1016.74,8.77,88.0,,partly-cloudy-night,Partly Cloudy,2010,04
2600,2010-04-19T08,50.17,38.87,10.0,0.65,0.55,1017.38,9.92,79.0,,partly-cloudy-day,Partly Cloudy,2010,04
2601,2010-04-19T09,52.69,40.41,10.0,0.63,0.56,1017.76,8.04,77.0,,partly-cloudy-day,Partly Cloudy,2010,04
2602,2010-04-19T10,55.63,42.34,9.93,0.61,0.69,1018.22,8.02,63.0,,partly-cloudy-day,Mostly Cloudy,2010,04
2603,2010-04-19T11,60.16,45.15,10.0,0.58,0.69,1018.55,5.6,89.0,,partly-cloudy-day,Mostly Cloudy,2010,04
