,hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year,Month
2222,2010-04-03T14,74.79,40.32,9.93,0.29,0.53,1018.57,11.14,229.0,,partly-cloudy-day,Partly Cloudy,2010,04
2223,2010-04-03T15,75.49,42.9,10.0,0.31,0.54,1018.26,11.9,243.0,,partly-cloudy-day,Partly Cloudy,2010,04
2224,2010-04-03T16,75.2,46.63,9.93,0.36,0.53,1017.47,8.52,264.0,,partly-cloudy-day,Partly Cloudy,2010,04
2225,2010-04-03T17,75.54,47.13,10.0,0.37,0.54,1016.85,5.85,237.0,,partly-cloudy-day,Partly Cloudy,2010,04
2226,2010-04-03T18,76.04,47.99,10.0,0.37,0.23,1016.32,3.53,254.0,,clear-day,Clear,2010,04
2227,2010-04-03T19,74.98,48.11,10.0,0.39,0.27,1016.98,6.07,235.0,,partly-cloudy-day,Partly Cloudy,2010,04
2228,2010-04-03T20,78.57,52.78,9.95,0.41,0.0,1019.16,5.42,245.0,,clear-night,Clear,2010,04
2229,2010-04-03T21,69.46,51.71,9.91,0.53,0.59,1017.78,3.22,250.0,,partly-cloudy-night,Partly Cloudy,2010,04
2230,2010-04-03T22,67.29,53.4,10.0,0.61,0.42,1018.27,4.94,259.0,,partly-cloudy-night,Partly Cloudy,2010,04
2231,2010-04-03T23,65.85,53.89,9.86,0.65,0.28,1018.37,2.29,225.0,,partly-cloudy-night,Partly Cloudy,2010,04
2232,2010-04-04T00,63.93,54.14,9.81,0.7,0.25,1018.5,2.99,250.0,,partly-cloudy-night,Partly Cloudy,2010,04
2233,2010-04-04T01,63.73,55.3,9.92,0.74,0.85,1018.98,5.86,289.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2234,2010-04-04T02,63.22,54.17,9.66,0.72,0.29,1018.84,2.99,329.0,,partly-cloudy-night,Partly Cloudy,2010,04
2235,2010-04-04T03,61.53,53.72,9.6,0.76,0.38,1018.83,4.89,310.0,,partly-cloudy-night,Partly Cloudy,2010,04
2236,2010-04-04T04,61.47,54.52,9.57,0.78,0.7,1018.84,4.79,311.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2237,2010-04-04T05,61.3,54.57,9.43,0.79,0.65,1018.91,7.64,329.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2238,2010-04-04T06,60.21,54.42,9.32,0.81,0.6,1019.35,5.9,329.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2239,2010-04-04T07,59.11,54.3,9.06,0.84,0.56,1020.38,2.9,302.0,,partly-cloudy-night,Partly Cloudy,2010,04
2240,2010-04-04T08,59.71,54.38,9.19,0.83,0.55,1021.08,1.42,260.0,,partly-cloudy-day,Partly Cloudy,2010,04
2241,2010-04-04T09,63.21,56.78,9.67,0.8,0.55,1021.83,2.99,320.0,,partly-cloudy-day,Partly Cloudy,2010,04
2242,2010-04-04T10,69.53,57.05,9.91,0.65,0.25,1022.18,3.02,7.0,,partly-cloudy-day,Partly Cloudy,2010,04
2243,2010-04-04T11,72.41,58.38,10.0,0.61,0.25,1022.27,6.51,298.0,,partly-cloudy-day,Partly Cloudy,2010,04
2244,2010-04-04T12,74.47,58.49,10.0,0.58,0.25,1022.15,4.1,183.0,,partly-cloudy-day,Partly Cloudy,2010,04
2245,2010-04-04T13,76.62,55.32,9.98,0.48,0.27,1021.45,4.32,232.0,,partly-cloudy-day,Partly Cloudy,2010,04
2246,2010-04-04T14,79.34,55.22,10.0,0.44,0.27,1020.79,7.52,241.0,,partly-cloudy-day,Partly Cloudy,2010,04
2247,2010-04-04T15,81.07,53.91,10.0,0.39,0.23,1020.4,7.02,274.0,,clear-day,Clear,2010,04
2248,2010-04-04T16,82.25,53.54,10.0,0.37,0.24,1019.66,8.75,205.0,,clear-day,Clear,2010,04
2249,2010-04-04T17,82.53,52.27,10.0,0.35,0.22,1018.95,5.79,258.0,,clear-day,Clear,2010,04
2250,2010-04-04T18,82.44,51.69,10.0,0.35,0.01,1018.75,5.44,209.0,,clear-day,Clear,2010,04
2251,2010-04-04T19,82.04,52.2,9.95,0.36,0.01,1018.95,6.53,254.0,,clear-day,Clear,2010,04
2252,2010-04-04T20,81.39,52.3,10.0,0.37,0.01,1019.23,6.31,210.0,,clear-night,Clear,2010,04
2253,2010-04-04T21,74.13,53.29,9.95,0.48,0.0,1019.39,2.88,246.0,,clear-night,Clear,2010,04
2254,2010-04-04T22,71.91,54.12,10.0,0.54,0.01,1020.0,3.02,238.0,,clear-night,Clear,2010,04
2255,2010-04-04T23,69.18,54.46,10.0,0.59,0.0,1020.38,4.77,220.0,,clear-night,Clear,2010,04
2256,2010-04-05T00,67.51,54.37,10.0,0.63,0.0,1020.38,4.81,235.0,,clear-night,Clear,2010,04
2257,2010-04-05T01,67.95,54.83,9.97,0.63,0.0,1020.4,6.62,248.0,,clear-night,Clear,2010,04
