CANCELLED,temperature_ORIGIN,dewPoint_ORIGIN,visibility_ORIGIN,humidity_ORIGIN,cloudCover_ORIGIN,pressure_ORIGIN,windSpeed_ORIGIN,windBearing_ORIGIN,DEP_DELAY_ORIGIN_1,DEP_DELAY_ORIGIN_2,DEP_DELAY_ORIGIN_3,DEP_DELAY_ORIGIN_4,DEP_DELAY_ORIGIN_5,DEP_DELAY_ORIGIN_6,DEP_DELAY_ORIGIN_7,DEP_DELAY_ORIGIN_8,DEP_DELAY_ORIGIN_9,DEP_DELAY_ORIGIN_10,DEP_DELAY_ORIGIN_11,DEP_DELAY_ORIGIN_12,DEP_DELAY_ORIGIN_13,DEP_DELAY_ORIGIN_14,DEP_DELAY_ORIGIN_15,DEP_DELAY_ORIGIN_16,DEP_DELAY_ORIGIN_17,DEP_DELAY_ORIGIN_18,DEP_DELAY_ORIGIN_19,DEP_DELAY_ORIGIN_20,DEP_DELAY_CARRIER_1,DEP_DELAY_CARRIER_2,DEP_DELAY_CARRIER_3,DEP_DELAY_CARRIER_4,DEP_DELAY_CARRIER_5,DEP_DELAY_CARRIER_ORIGIN_1,DEP_DELAY_CARRIER_ORIGIN_2,DEP_DELAY_CARRIER_ORIGIN_3,DEP_DELAY_CARRIER_ORIGIN_4,DEP_DELAY_CARRIER_ORIGIN_5,DEP_DELAY_CARRIER_ORIGIN_6,DEP_DELAY_CARRIER_ORIGIN_7,DEP_DELAY_CARRIER_ORIGIN_8,DEP_DELAY_CARRIER_ORIGIN_9,DEP_DELAY_CARRIER_ORIGIN_10,DEP_DELAY_DEST_1,DEP_DELAY_DEST_2,DEP_DELAY_DEST_3,DEP_DELAY_DEST_4,DEP_DELAY_DEST_5,DEP_DELAY_DEST_6,DEP_DELAY_DEST_7,DEP_DELAY_DEST_8,DEP_DELAY_DEST_9,DEP_DELAY_DEST_10,DEP_DELAY_DEST_11,DEP_DELAY_DEST_12,DEP_DELAY_DEST_13,DEP_DELAY_DEST_14,DEP_DELAY_DEST_15,temperature_DEST,dewPoint_DEST,visibility_DEST,humidity_DEST,cloudCover_DEST,pressure_DEST,windSpeed_DEST,windBearing_DEST
0.0,30.52,11.95,10.0,0.45,0.72,1020.04,15.11,310.0,0.0,12.0,8.0,17.0,60.0,-10.0,-3.0,-4.0,-3.0,13.0,1.0,4.0,6.0,14.0,15.0,-3.0,-8.0,-3.0,26.0,-5.0,1440,1440,1440,1440,1440,0.0,-5.0,-8.0,14.0,-3.0,1440,1440,1440,1440,1440,4.0,6.0,0.0,2.0,-1.0,6.0,11.0,-7.0,-2.0,20.0,190.0,68.0,7.0,14.0,0.0,37.96,20.67,9.89,0.49,0.23,1031.64,12.34,338.0
0.0,30.52,11.95,10.0,0.45,0.72,1020.04,15.11,310.0,0.0,12.0,8.0,17.0,60.0,-10.0,-3.0,-4.0,-3.0,13.0,1.0,4.0,6.0,14.0,15.0,-3.0,-8.0,-3.0,26.0,-5.0,1440,1440,1440,1440,1440,0.0,-5.0,-8.0,14.0,-3.0,1440,1440,1440,1440,1440,4.0,6.0,0.0,2.0,-1.0,6.0,11.0,-7.0,-2.0,20.0,190.0,68.0,7.0,14.0,0.0,37.96,20.67,9.89,0.49,0.23,1031.64,12.34,338.0
0.0,33.26,7.95,10.0,0.34,0.01,1021.53,10.87,306.0,-1.0,0.0,26.0,3.0,-4.0,-3.0,37.0,27.0,6.0,-1.0,-2.0,6.0,0.0,19.0,5.0,-5.0,-1.0,3.0,-7.0,-5.0,1440,1440,1440,1440,1440,1.0,0.0,0.0,-9.0,8.0,1440,1440,1440,1440,1440,0.0,0.0,6.0,3.0,-9.0,-1.0,-4.0,40.0,11.0,-5.0,-5.0,-7.0,-3.0,-9.0,-5.0,40.12,21.12,10.0,0.46,0.47,1028.39,2.95,117.0
0.0,33.26,7.95,10.0,0.34,0.01,1021.53,10.87,306.0,-1.0,0.0,26.0,3.0,-4.0,-3.0,37.0,27.0,6.0,-1.0,-2.0,6.0,0.0,19.0,5.0,-5.0,-1.0,3.0,-7.0,-5.0,1440,1440,1440,1440,1440,1.0,0.0,0.0,-9.0,8.0,1440,1440,1440,1440,1440,0.0,0.0,6.0,3.0,-9.0,-1.0,-4.0,40.0,11.0,-5.0,-5.0,-7.0,-3.0,-9.0,-5.0,40.12,21.12,10.0,0.46,0.47,1028.39,2.95,117.0
0.0,33.26,7.95,10.0,0.34,0.01,1021.53,10.87,306.0,-1.0,0.0,26.0,3.0,-4.0,-3.0,37.0,27.0,6.0,-1.0,-2.0,6.0,0.0,19.0,5.0,-5.0,-1.0,3.0,-7.0,-5.0,1440,1440,1440,1440,1440,1.0,0.0,0.0,-9.0,8.0,1440,1440,1440,1440,1440,0.0,0.0,6.0,3.0,-9.0,-1.0,-4.0,40.0,11.0,-5.0,-5.0,-7.0,-3.0,-9.0,-5.0,40.12,21.12,10.0,0.46,0.47,1028.39,2.95,117.0
0.0,37.23,12.2,10.0,0.35,0.23,1021.93,13.74,324.0,11.0,-3.0,-2.0,-1.0,-5.0,46.0,39.0,56.0,4.0,-5.0,115.0,0.0,0.0,-2.0,0.0,-1.0,-2.0,0.0,-4.0,-7.0,1440,1440,1440,1440,1440,-3.0,-5.0,-3.0,-5.0,-4.0,1440,1440,1440,1440,1440,-4.0,-6.0,-7.0,-7.0,-3.0,-5.0,-5.0,22.0,-9.0,10.0,12.0,-3.0,-4.0,-6.0,-1.0,46.86,36.27,9.83,0.66,1.0,1016.61,11.39,157.0
0.0,37.23,12.2,10.0,0.35,0.23,1021.93,13.74,324.0,11.0,-3.0,-2.0,-1.0,-5.0,46.0,39.0,56.0,4.0,-5.0,115.0,0.0,0.0,-2.0,0.0,-1.0,-2.0,0.0,-4.0,-7.0,1440,1440,1440,1440,1440,-3.0,-5.0,-3.0,-5.0,-4.0,1440,1440,1440,1440,1440,-4.0,-6.0,-7.0,-7.0,-3.0,-5.0,-5.0,22.0,-9.0,10.0,12.0,-3.0,-4.0,-6.0,-1.0,46.86,36.27,9.83,0.66,1.0,1016.61,11.39,157.0
0.0,37.23,12.2,10.0,0.35,0.23,1021.93,13.74,324.0,11.0,-3.0,-2.0,-1.0,-5.0,46.0,39.0,56.0,4.0,-5.0,115.0,0.0,0.0,-2.0,0.0,-1.0,-2.0,0.0,-4.0,-7.0,1440,1440,1440,1440,1440,-3.0,-5.0,-3.0,-5.0,-4.0,1440,1440,1440,1440,1440,-4.0,-6.0,-7.0,-7.0,-3.0,-5.0,-5.0,22.0,-9.0,10.0,12.0,-3.0,-4.0,-6.0,-1.0,46.86,36.27,9.83,0.66,1.0,1016.61,11.39,157.0
0.0,38.81,13.68,8.99,0.35,0.98,1019.17,6.42,260.0,-4.0,43.0,10.0,43.0,-1.0,65.0,48.0,2.0,24.0,18.0,2.0,-2.0,-1.0,31.0,34.0,8.0,0.0,-5.0,57.0,-6.0,1440,1440,1440,1440,1440,4.0,,3.0,-2.0,-4.0,1440,1440,1440,1440,1440,3.0,24.0,14.0,-5.0,2.0,3.0,45.0,19.0,-7.0,232.0,33.0,2.0,-9.0,-5.0,23.0,31.1,7.23,10.0,0.36,0.2,1030.53,20.87,346.0
0.0,38.81,13.68,8.99,0.35,0.98,1019.17,6.42,260.0,-4.0,43.0,10.0,43.0,-1.0,65.0,48.0,2.0,24.0,18.0,2.0,-2.0,-1.0,31.0,34.0,8.0,0.0,-5.0,57.0,-6.0,1440,1440,1440,1440,1440,4.0,,3.0,-2.0,-4.0,1440,1440,1440,1440,1440,3.0,24.0,14.0,-5.0,2.0,3.0,45.0,19.0,-7.0,232.0,33.0,2.0,-9.0,-5.0,23.0,31.1,7.23,10.0,0.36,0.2,1030.53,20.87,346.0
