ABE,locatedIn,state_PA
ABE,locatedIn,city_Allentown_PA
ABE,serveCity,city_Allentown_PA
ABI,locatedIn,state_TX
ABI,locatedIn,city_Abilene_TX
ABI,serveCity,city_Abilene_TX
ABQ,locatedIn,state_NM
ABQ,locatedIn,city_Albuquerque_NM
ABQ,serveCity,city_Albuquerque_NM
ABR,locatedIn,state_SD
ABR,locatedIn,city_Aberdeen_SD
ABR,serveCity,city_Aberdeen_SD
ABY,locatedIn,city_Albany_GA
ABY,locatedIn,state_GA
ABY,serveCity,city_Albany_GA
ACK,locatedIn,city_Nantucket_MA
ACK,locatedIn,state_MA
ACK,serveCity,city_Nantucket_MA
ACT,locatedIn,city_Waco_TX
ACT,locatedIn,state_TX
ACT,serveCity,city_Waco_TX
ACV,locatedIn,state_CA
ACV,locatedIn,Eureka_CA
ACV,serveCity,Eureka_CA
ACY,locatedIn,city_Atlantic_City_NJ
ACY,locatedIn,state_NJ
ACY,serveCity,city_Atlantic_City_NJ
ADK,locatedIn,city_Adak_AK
ADK,locatedIn,state_AK
ADK,serveCity,city_Adak_AK
ADQ,locatedIn,city_Kodiak_AK
ADQ,locatedIn,state_AK
ADQ,serveCity,city_Kodiak_AK
AEX,locatedIn,state_LA
AEX,locatedIn,city_Alexandria_LA
AEX,serveCity,city_Alexandria_LA
AGS,locatedIn,city_Augusta_GA
AGS,locatedIn,state_GA
AGS,serveCity,city_Augusta_GA
AKN,locatedIn,city_King_Salmon_AK
AKN,locatedIn,state_AK
AKN,serveCity,city_King_Salmon_AK
ALB,locatedIn,city_Albany_NY
ALB,locatedIn,state_NY
ALB,serveCity,city_Albany_NY
ALO,locatedIn,city_Waterloo_IA
ALO,locatedIn,state_IA
ALO,serveCity,city_Waterloo_IA
AMA,locatedIn,state_TX
AMA,locatedIn,city_Amarillo_TX
AMA,serveCity,city_Amarillo_TX
ANC,locatedIn,city_Anchorage_AK
ANC,locatedIn,state_AK
ANC,serveCity,city_Anchorage_AK
APN,locatedIn,state_MI
APN,locatedIn,city_Alpena_MI
APN,serveCity,city_Alpena_MI
ASE,locatedIn,city_Aspen_CO
ASE,locatedIn,state_CO
ASE,serveCity,city_Aspen_CO
ATL,locatedIn,city_Atlanta_GA
ATL,locatedIn,state_GA
ATL,serveCity,city_Atlanta_GA
ATW,locatedIn,city_Appleton_WI
ATW,locatedIn,state_WI
ATW,serveCity,city_Appleton_WI
AUS,locatedIn,city_Austin_TX
AUS,locatedIn,state_TX
AUS,serveCity,city_Austin_TX
AVL,locatedIn,state_NC
AVL,locatedIn,city_Asheville_NC
AVL,serveCity,city_Asheville_NC
AVP,locatedIn,state_PA
AVP,locatedIn,Scranton_PA
AVP,serveCity,Scranton_PA
AZO,locatedIn,city_Kalamazoo_MI
AZO,locatedIn,state_MI
AZO,serveCity,city_Kalamazoo_MI
BDL,locatedIn,state_CT
BDL,locatedIn,city_Windsor_Locks_CT
BDL,serveCity,city_Windsor_Locks_CT
BET,locatedIn,city_Bethel_AK
BET,locatedIn,state_AK
BET,serveCity,city_Bethel_AK
BFL,locatedIn,state_CA
BFL,locatedIn,city_Bakersfield_CA
BFL,serveCity,city_Bakersfield_CA
BGM,locatedIn,city_Binghamton_NY
BGM,locatedIn,state_NY
BGM,serveCity,city_Binghamton_NY
BGR,locatedIn,state_ME
BGR,locatedIn,city_Bangor_ME
BGR,serveCity,city_Bangor_ME
BHM,locatedIn,city_Birmingham_AL
BHM,locatedIn,state_AL
BHM,serveCity,city_Birmingham_AL
BIL,locatedIn,city_Billings_MT
BIL,locatedIn,state_MT
BIL,serveCity,city_Billings_MT
BIS,locatedIn,city_Bismarck_ND
BIS,locatedIn,state_ND
BIS,serveCity,city_Bismarck_ND
BJI,locatedIn,state_MN
BJI,locatedIn,city_Bemidji_MN
BJI,serveCity,city_Bemidji_MN
BLI,locatedIn,state_WA
BLI,locatedIn,city_Bellingham_WA
BLI,serveCity,city_Bellingham_WA
BMI,locatedIn,state_IL
BMI,locatedIn,city_Bloomington_IL
BMI,serveCity,city_Bloomington_IL
BNA,locatedIn,city_Nashville_TN
BNA,locatedIn,state_TN
BNA,serveCity,city_Nashville_TN
BOI,locatedIn,city_Boise_ID
BOI,locatedIn,state_ID
BOI,serveCity,city_Boise_ID
BOS,locatedIn,state_MA
BOS,locatedIn,city_Boston_MA
BOS,serveCity,city_Boston_MA
BPT,locatedIn,state_TX
BPT,locatedIn,Port_Arthur_TX
BPT,serveCity,Port_Arthur_TX
BQK,locatedIn,city_Brunswick_GA
BQK,locatedIn,state_GA
BQK,serveCity,city_Brunswick_GA
BQN,locatedIn,city_Aguadilla_PR
BQN,locatedIn,state_PR
BQN,serveCity,city_Aguadilla_PR
BRD,locatedIn,city_Brainerd_MN
BRD,locatedIn,state_MN
BRD,serveCity,city_Brainerd_MN
BRO,locatedIn,state_TX
BRO,locatedIn,city_Brownsville_TX
BRO,serveCity,city_Brownsville_TX
BRW,locatedIn,city_Barrow_AK
BRW,locatedIn,state_AK
BRW,serveCity,city_Barrow_AK
BTM,locatedIn,city_Butte_MT
BTM,locatedIn,state_MT
BTM,serveCity,city_Butte_MT
BTR,locatedIn,city_Baton_Rouge_LA
BTR,locatedIn,state_LA
BTR,serveCity,city_Baton_Rouge_LA
BTV,locatedIn,state_VT
BTV,locatedIn,city_Burlington_VT
BTV,serveCity,city_Burlington_VT
BUF,locatedIn,city_Buffalo_NY
BUF,locatedIn,state_NY
BUF,serveCity,city_Buffalo_NY
BUR,locatedIn,state_CA
BUR,locatedIn,city_Burbank_CA
BUR,serveCity,city_Burbank_CA
BWI,locatedIn,city_Baltimore_MD
BWI,locatedIn,state_MD
BWI,serveCity,city_Baltimore_MD
BZN,locatedIn,city_Bozeman_MT
BZN,locatedIn,state_MT
BZN,serveCity,city_Bozeman_MT
CAE,locatedIn,state_SC
CAE,locatedIn,city_Columbia_SC
CAE,serveCity,city_Columbia_SC
CAK,locatedIn,city_Akron_OH
CAK,locatedIn,state_OH
CAK,serveCity,city_Akron_OH
CDC,locatedIn,state_UT
CDC,locatedIn,city_Cedar_City_UT
CDC,serveCity,city_Cedar_City_UT
CDV,locatedIn,city_Cordova_AK
CDV,locatedIn,state_AK
CDV,serveCity,city_Cordova_AK
CEC,locatedIn,state_CA
CEC,locatedIn,city_Crescent_City_CA
CEC,serveCity,city_Crescent_City_CA
CHA,locatedIn,city_Chattanooga_TN
CHA,locatedIn,state_TN
CHA,serveCity,city_Chattanooga_TN
CHO,locatedIn,city_Charlottesville_VA
CHO,locatedIn,state_VA
CHO,serveCity,city_Charlottesville_VA
CHS,locatedIn,state_SC
CHS,locatedIn,city_Charleston_SC
