dep_2010-01-10_1923,hasOrigin,ATL:1.000000
Weather,meteo_2010_2010-01-23T16:1.000000
Weather,meteo_2010_2010-01-23T13:1.000000
dep_2010-01-14_1927,hasDest,DFW:1.000000
Weather,meteo_2010_2010-01-23T14:1.000000
Carrier,AA:1.000000
DelayType,dep_2010-01-25_1923:1.000000
Weather,meteo_2010_2010-01-23T22:1.000000
Weather,meteo_2010_2010-01-23T23:1.000000
Weather,meteo_2010_2010-01-23T20:1.000000
Weather,meteo_2010_2010-01-23T21:1.000000
DTW,locatedIn,city_Detroit_MI:1.000000
GeoLocation,city_Islip_NY:1.000000
dep_2010-01-20_1923,hasDest,DFW:1.000000
city_Beaumont/Port_Arthur_TX,locatedIn,state_TX:1.000000
GeoLocation,city_Twin_Falls_ID:1.000000
dep_2010-01-22_1927,hasFlight,Flight1927:1.000000
City,city_Eau_Claire_WI:1.000000
GeoLocation,city_Panama_City_FL:1.000000
Airport,VLD:1.000000
ArrDelayed,dep_2010-01-26_1923:1.000000
MEI,serveCity,city_Meridian_MS:1.000000
city_Bemidji_MN,locatedIn,state_MN:1.000000
dep_2010-01-05_1923,hasOrigin,ATL:1.000000
city_Rock_Springs_WY,locatedIn,state_WY:1.000000
City,city_Bangor_ME:1.000000
Airport,EKO:1.000000
city_Chicago_IL,locatedIn,state_IL:1.000000
dep_2010-01-04_1927,hasFlight,Flight1927:1.000000
City,city_Dillingham_AK:1.000000
city_Dothan_AL,locatedIn,state_AL:1.000000
GeoLocation,XNA:1.000000
MRY,locatedIn,city_Monterey_CA:1.000000
ArrOnTime,dep_2010-01-17_1923:1.000000
BTM,locatedIn,state_MT:1.000000
GeoLocation,city_Honolulu_HI:1.000000
ArrOnTime,dep_2010-01-17_1927:1.000000
CHA,serveCity,city_Chattanooga_TN:1.000000
MSN,locatedIn,state_WI:1.000000
GeoLocation,city_Hailey_ID:1.000000
Departure,dep_2010-01-26_1923:1.000000
DepDelayed,dep_2010-01-04_67:1.000000
Departure,dep_2010-01-26_1927:1.000000
GeoLocation,city_Duluth_MN:1.000000
STC,serveCity,city_St_Cloud_MN:1.000000
City,city_Birmingham_AL:1.000000
City,city_Grand_Junction_CO:1.000000
DVL,serveCity,city_Devils_Lake_ND:1.000000
GeoLocation,city_Mammoth_Lakes_CA:1.000000
PHL,locatedIn,state_PA:1.000000
Airport,DLH:1.000000
UST,locatedIn,city_St._Augustine_FL:1.000000
Airport,DLG:1.000000
BWI,locatedIn,state_MD:1.000000
SRQ,locatedIn,city_Sarasota_FL:1.000000
GeoLocation,GJT:1.000000
HPN,locatedIn,city_White_Plains_NY:1.000000
GeoLocation,city_Anchorage_AK:1.000000
Foggy,meteo_2010_2010-01-22T23:1.000000
HYS,serveCity,city_Hays_KS:1.000000
Departure,cancelled_2010-01-24_1927:1.000000
NASDelay,dep_2010-01-06_67:1.000000
city_Baltimore_MD,locatedIn,state_MD:1.000000
BRW,locatedIn,state_AK:1.000000
dep_2010-01-10_1927,hasOrigin,ATL:1.000000
MOB,serveCity,city_Mobile_AL:1.000000
city_North_Bend_OR,locatedIn,state_OR:1.000000
DepOnTime,dep_2010-01-03_1927:1.000000
VEL,locatedIn,city_Vernal_UT:1.000000
DepOnTime,dep_2010-01-06_1927:1.000000
PartlyCloudy,meteo_2010_2010-01-12T16:1.000000
DepOnTime,dep_2010-01-06_1923:1.000000
LAN,locatedIn,city_Lansing_MI:1.000000
dep_2010-01-25_67,hasOrigin,ATL:1.000000
GeoLocation,GPT:1.000000
dep_2010-01-31_1923,hasCarrier,DL:1.000000
GeoLocation,city_Memphis_TN:1.000000
RDM,locatedIn,city_Redmond_OR:1.000000
GeoLocation,city_El_Paso_TX:1.000000
ABQ,serveCity,city_Albuquerque_NM:1.000000
GeoLocation,GNV:1.000000
MVY,locatedIn,state_MA:1.000000
City,city_Monroe_LA:1.000000
CDV,locatedIn,city_Cordova_AK:1.000000
City,city_Kalamazoo_MI:1.000000
city_Springfield_MO,locatedIn,state_MO:1.000000
City,city_Philadelphia_PA:1.000000
DRO,serveCity,city_Durango_CO:1.000000
Airport,UST:1.000000
city_Columbia_SC,locatedIn,state_SC:1.000000
Airport,DRO:1.000000
DCA,locatedIn,state_VA:1.000000
City,city_Spokane_WA:1.000000
city_Wilkes-Barre/Scranton_PA,locatedIn,state_PA:1.000000
city_Pocatello_ID,locatedIn,state_ID:1.000000
dep_2010-01-31_1923,hasOrigin,ATL:1.000000
Airport,DSM:1.000000
city_Gustavus_AK,locatedIn,state_AK:1.000000
GeoLocation,GCK:1.000000
dep_2010-01-10_1923,hasCarrier,DL:1.000000
city_Twin_Falls_ID,locatedIn,state_ID:1.000000
City,city_Savannah_GA:1.000000
GeoLocation,GCC:1.000000
dep_2010-01-15_1923,hasDest,DFW:1.000000
Departure,dep_2010-01-29_1927:1.000000
