S-T,T-ACC,T-AUC,HT-ACC,HT-AUC,HT-ACC-SI,HT-AUC-SI,ST-ACC,ST-AUC,ST-ACC-SI,ST-AUC-SI,ACC-FI,AUC-FI
Switzerland-Cleveland,0.9557823129251702,0.9831932773109244,0.9285714285714286,0.9908403361344539,0.029304029304029457,-0.007717750826901913,1.0,1.0,0.04626334519572935,0.017094017094017033,0.01695931589169989,0.024811767920918947
LongBeach-Cleveland,0.9557823129251702,0.9831932773109244,0.9812925170068026,1.0,-0.025996533795493684,-0.01680672268907557,1.0,1.0,0.04626334519572935,0.017094017094017033,0.07225987899122303,0.033900739783092604
Hungary-Cleveland,0.9557823129251702,0.9831932773109244,0.9370748299319729,0.987983193277311,0.019963702359346722,-0.004848175554988523,0.9965986394557823,1.0,0.04270462633451938,0.017094017094017033,0.022740923975172658,0.021942192649005557
