,FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 27,Month
113,2010-02-11,DL,67,ATL,DFW,1630,1730.0,60.0,19.0,1749.0,1842.0,8.0,1805,1850.0,45.0,0.0,,0.0,155.0,140.0,113.0,732.0,0.0,0.0,45.0,0.0,0.0,,02
114,2010-02-11,DL,1923,ATL,DFW,1505,1556.0,51.0,14.0,1610.0,1710.0,9.0,1636,1719.0,43.0,0.0,,0.0,151.0,143.0,120.0,732.0,29.0,0.0,0.0,0.0,14.0,,02
115,2010-02-11,DL,1927,ATL,DFW,1745,1756.0,11.0,16.0,1812.0,1913.0,12.0,1915,1925.0,10.0,0.0,,0.0,150.0,149.0,121.0,732.0,,,,,,,02
116,2010-02-12,DL,67,ATL,DFW,1630,,,,,,,1805,,,1.0,B,0.0,155.0,,,732.0,,,,,,,02
117,2010-02-12,DL,1923,ATL,DFW,1505,,,,,,,1636,,,1.0,B,0.0,151.0,,,732.0,,,,,,,02
118,2010-02-12,DL,1927,ATL,DFW,1745,,,,,,,1915,,,1.0,B,0.0,150.0,,,732.0,,,,,,,02
119,2010-02-13,DL,67,ATL,DFW,1630,1932.0,182.0,19.0,1951.0,2055.0,6.0,1803,2101.0,178.0,0.0,,0.0,153.0,149.0,124.0,732.0,0.0,0.0,0.0,0.0,178.0,,02
120,2010-02-13,DL,1923,ATL,DFW,1505,,,,,,,1636,,,1.0,B,0.0,151.0,,,732.0,,,,,,,02
121,2010-02-14,DL,67,ATL,DFW,1630,1624.0,-6.0,21.0,1645.0,1746.0,10.0,1805,1756.0,-9.0,0.0,,0.0,155.0,152.0,121.0,732.0,,,,,,,02
122,2010-02-14,DL,1923,ATL,DFW,1505,1506.0,1.0,18.0,1524.0,1625.0,6.0,1636,1631.0,-5.0,0.0,,0.0,151.0,145.0,121.0,732.0,,,,,,,02
123,2010-02-15,DL,67,ATL,DFW,1630,1626.0,-4.0,17.0,1643.0,1743.0,9.0,1805,1752.0,-13.0,0.0,,0.0,155.0,146.0,120.0,732.0,,,,,,,02
124,2010-02-15,DL,1923,ATL,DFW,1505,1503.0,-2.0,16.0,1519.0,1615.0,13.0,1636,1628.0,-8.0,0.0,,0.0,151.0,145.0,116.0,732.0,,,,,,,02
125,2010-02-15,DL,1927,ATL,DFW,1745,1748.0,3.0,19.0,1807.0,1904.0,9.0,1915,1913.0,-2.0,0.0,,0.0,150.0,145.0,117.0,732.0,,,,,,,02
